"",BBFN1.M.DE.N.1.A.O1.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.O1.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:19,
1995-01,0.836,
1995-02,0.840,
1995-03,0.825,
1995-04,0.854,
1995-05,0.897,
1995-06,0.839,
1995-07,0.944,
1995-08,0.907,
1995-09,0.910,
1995-10,0.893,
1995-11,0.885,
1995-12,0.866,
1996-01,0.817,
1996-02,0.805,
1996-03,0.826,
1996-04,0.846,
1996-05,0.863,
1996-06,0.849,
1996-07,0.845,
1996-08,0.857,
1996-09,0.880,
1996-10,0.887,
1996-11,0.879,
1996-12,0.873,
1997-01,0.880,
1997-02,0.822,
1997-03,0.855,
1997-04,0.806,
1997-05,0.803,
1997-06,0.869,
1997-07,0.855,
1997-08,0.859,
1997-09,0.910,
1997-10,0.905,
1997-11,0.899,
1997-12,0.871,
1998-01,0.843,
1998-02,0.865,
1998-03,0.907,
1998-04,0.922,
1998-05,0.933,
1998-06,0.913,
1998-07,0.931,
1998-08,0.907,
1998-09,0.932,
1998-10,0.922,
1998-11,0.926,
1998-12,0.929,
1999-01,0.904,
1999-02,0.899,
1999-03,0.941,
1999-04,0.975,
1999-05,0.998,
1999-06,0.977,
1999-07,1.030,
1999-08,1.011,
1999-09,1.047,
1999-10,1.101,
1999-11,1.066,
1999-12,1.040,
2000-01,1.031,
2000-02,0.999,
2000-03,1.037,
2000-04,1.083,
2000-05,1.111,
2000-06,1.097,
2000-07,1.113,
2000-08,1.171,
2000-09,1.193,
2000-10,1.233,
2000-11,1.222,
2000-12,1.193,
2001-01,1.185,
2001-02,1.260,
2001-03,1.219,
2001-04,1.247,
2001-05,1.306,
2001-06,1.251,
2001-07,1.243,
2001-08,1.207,
2001-09,1.262,
2001-10,1.289,
2001-11,1.336,
2001-12,1.302,
2002-01,1.244,
2002-02,1.184,
2002-03,1.164,
2002-04,1.191,
2002-05,1.231,
2002-06,1.307,
2002-07,1.351,
2002-08,1.297,
2002-09,1.330,
2002-10,1.318,
2002-11,1.348,
2002-12,1.381,
2003-01,1.339,
2003-02,1.331,
2003-03,1.355,
2003-04,1.360,
2003-05,1.363,
2003-06,1.347,
2003-07,1.380,
2003-08,1.349,
2003-09,1.229,
2003-10,1.254,
2003-11,1.231,
2003-12,1.255,
2004-01,1.228,
2004-02,1.210,
2004-03,1.432,
2004-04,1.389,
2004-05,1.243,
2004-06,1.283,
2004-07,1.236,
2004-08,1.216,
2004-09,1.217,
2004-10,1.217,
2004-11,1.301,
2004-12,1.363,
2005-01,1.296,
2005-02,1.309,
2005-03,1.355,
2005-04,1.334,
2005-05,1.350,
2005-06,1.328,
2005-07,1.348,
2005-08,1.329,
2005-09,1.335,
2005-10,1.254,
2005-11,1.317,
2005-12,1.353,
2006-01,1.320,
2006-02,1.360,
2006-03,1.348,
2006-04,1.353,
2006-05,1.325,
2006-06,1.376,
2006-07,1.341,
2006-08,1.355,
2006-09,1.361,
2006-10,1.328,
2006-11,1.385,
2006-12,1.346,
2007-01,1.310,
2007-02,1.319,
2007-03,1.302,
2007-04,1.299,
2007-05,1.325,
2007-06,1.416,
2007-07,1.403,
2007-08,1.473,
2007-09,1.476,
2007-10,1.478,
2007-11,1.445,
2007-12,1.385,
2008-01,1.347,
2008-02,1.369,
2008-03,1.422,
2008-04,1.523,
2008-05,1.524,
2008-06,1.537,
2008-07,1.537,
2008-08,1.523,
2008-09,1.548,
2008-10,1.512,
2008-11,1.515,
2008-12,1.510,
2009-01,1.359,
2009-02,1.282,
2009-03,1.297,
2009-04,1.268,
2009-05,1.305,
2009-06,1.354,
2009-07,1.291,
2009-08,1.287,
2009-09,1.320,
2009-10,1.343,
2009-11,1.346,
2009-12,1.362,
2010-01,1.240,
2010-02,1.264,
2010-03,1.343,
2010-04,1.373,
2010-05,1.403,
2010-06,1.406,
2010-07,1.441,
2010-08,1.372,
2010-09,1.478,
2010-10,1.484,
2010-11,1.468,
2010-12,1.525,
2011-01,1.453,
2011-02,1.436,
2011-03,1.569,
2011-04,1.626,
2011-05,1.688,
2011-06,1.798,
2011-07,1.695,
2011-08,1.671,
2011-09,1.784,
2011-10,1.716,
2011-11,1.733,
2011-12,1.730,
2012-01,1.627,
2012-02,1.617,
2012-03,1.663,
2012-04,1.757,
2012-05,1.754,
2012-06,1.931,
2012-07,1.848,
2012-08,1.866,
2012-09,1.906,
2012-10,1.914,
2012-11,1.968,
2012-12,1.828,
2013-01,1.646,
2013-02,1.649,
2013-03,1.729,
2013-04,1.835,
2013-05,1.763,
2013-06,1.876,
2013-07,1.834,
2013-08,1.831,
2013-09,1.739,
2013-10,1.786,
2013-11,1.801,
2013-12,1.842,
2014-01,1.655,
2014-02,1.687,
2014-03,1.676,
2014-04,1.671,
2014-05,1.660,
2014-06,1.689,
2014-07,1.734,
2014-08,1.783,
2014-09,1.711,
2014-10,1.759,
2014-11,1.720,
2014-12,1.840,
