"",BBK01.OEBB21N,BBK01.OEBB21N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:44,
2002-01,17.855,
2002-04,18.259,
2002-07,17.199,
2002-10,15.504,
2003-01,15.002,
2003-04,14.698,
2003-07,15.045,
2003-10,13.673,
2004-01,14.665,
2004-04,13.197,
2004-07,11.699,
2004-10,3.496,
2005-01,6.352,
2005-04,6.674,
2005-07,6.204,
2005-10,6.072,
2006-01,6.150,
2006-04,7.015,
2006-07,6.882,
2006-10,6.581,
2007-01,6.988,
2007-04,6.522,
2007-07,5.959,
2007-10,6.952,
2008-01,7.988,
2008-04,8.189,
2008-07,8.557,
2008-10,8.044,
2009-01,7.180,
2009-04,7.773,
2009-07,8.019,
2009-10,7.098,
2010-01,6.743,
2010-04,7.108,
2010-07,6.956,
2010-10,7.819,
2011-01,7.446,
2011-04,7.241,
2011-07,6.524,
2011-10,6.434,
2012-01,6.066,
2012-04,6.076,
2012-07,6.215,
2012-10,6.297,
2013-01,7.883,
2013-04,8.685,
2013-07,8.779,
2013-10,7.856,
2014-01,9.600,
2014-04,9.203,
2014-07,9.039,
