"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.ES.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.ES.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Spain,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:45,
2009-09,51383,
2009-10,51782,
2009-11,52175,
2009-12,51841,
2010-01,51305,
2010-02,50834,
2010-03,51595,
2010-04,48196,
2010-05,45060,
2010-06,43543,
2010-07,45397,
2010-08,46241,
2010-09,47116,
2010-10,48257,
2010-11,44014,
2010-12,43244,
2011-01,44813,
2011-02,46551,
2011-03,47504,
2011-04,47634,
2011-05,46289,
2011-06,45388,
2011-07,43876,
2011-08,42484,
2011-09,41609,
2011-10,41851,
2011-11,39249,
2011-12,39867,
2012-01,40006,
2012-02,41096,
2012-03,40291,
2012-04,37833,
2012-05,34507,
2012-06,33442,
2012-07,32655,
2012-08,33306,
2012-09,35028,
2012-10,37252,
2012-11,39459,
2012-12,41278,
2013-01,45143,
2013-02,44980,
2013-03,45335,
2013-04,47494,
2013-05,47658,
2013-06,46417,
2013-07,46757,
2013-08,47079,
2013-09,47915,
2013-10,48466,
2013-11,49332,
2013-12,49577,
2014-01,50864,
2014-02,51077,
2014-03,52479,
2014-04,53202,
2014-05,54295,
2014-06,53711,
2014-07,54307,
2014-08,55038,
2014-09,55145,
2014-10,54592,
2014-11,56235,
