"",BBK01.OELL07L,BBK01.OELL07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:21,
2002-01,16.115,
2002-04,16.009,
2002-07,15.971,
2002-10,16.362,
2003-01,16.411,
2003-04,16.335,
2003-07,16.296,
2003-10,16.766,
2004-01,16.935,
2004-04,17.001,
2004-07,16.990,
2004-10,17.296,
2005-01,17.288,
2005-04,17.223,
2005-07,17.093,
2005-10,17.206,
2006-01,17.141,
2006-04,17.209,
2006-07,17.058,
2006-10,17.026,
2007-01,16.514,
2007-04,16.108,
2007-07,15.628,
2007-10,15.160,
2008-01,14.355,
2008-04,13.649,
2008-07,12.957,
2008-10,12.890,
2009-01,13.295,
2009-04,13.789,
2009-07,14.214,
2009-10,15.031,
2010-01,15.390,
2010-04,15.462,
2010-07,15.474,
2010-10,15.613,
2011-01,15.624,
2011-04,15.719,
2011-07,15.579,
2011-10,15.515,
2012-01,15.330,
2012-04,15.113,
2012-07,14.877,
2012-10,14.853,
2013-01,14.743,
2013-04,14.666,
2013-07,14.576,
2013-10,14.629,
2014-01,14.435,
2014-04,14.204,
2014-07,13.955,
