"",BBNZ1.Q.DE.S.H.0940.A,BBNZ1.Q.DE.S.H.0940.A_FLAGS
"",Germany / National accounts / Unit labor costs on an hourly basis / Real estate activities / Chain-linked index / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:13,
1991-01,83.88,
1991-04,94.80,
1991-07,93.58,
1991-10,95.41,
1992-01,97.35,
1992-04,97.73,
1992-07,101.51,
1992-10,103.56,
1993-01,105.81,
1993-04,107.38,
1993-07,108.39,
1993-10,110.66,
1994-01,111.62,
1994-04,112.34,
1994-07,111.47,
1994-10,112.49,
1995-01,107.87,
1995-04,108.87,
1995-07,109.56,
1995-10,108.82,
1996-01,106.95,
1996-04,105.62,
1996-07,105.26,
1996-10,104.97,
1997-01,108.43,
1997-04,108.14,
1997-07,107.32,
1997-10,107.03,
1998-01,112.58,
1998-04,113.34,
1998-07,114.91,
1998-10,115.92,
1999-01,117.38,
1999-04,120.18,
1999-07,121.64,
1999-10,120.10,
2000-01,117.89,
2000-04,117.57,
2000-07,117.38,
2000-10,117.41,
2001-01,115.64,
2001-04,115.53,
2001-07,114.01,
2001-10,111.99,
2002-01,111.18,
2002-04,111.70,
2002-07,110.75,
2002-10,109.20,
2003-01,113.74,
2003-04,111.19,
2003-07,110.45,
2003-10,110.33,
2004-01,107.06,
2004-04,105.29,
2004-07,104.10,
2004-10,104.65,
2005-01,105.08,
2005-04,106.36,
2005-07,103.53,
2005-10,104.27,
2006-01,104.33,
2006-04,103.28,
2006-07,104.69,
2006-10,103.05,
2007-01,101.71,
2007-04,100.17,
2007-07,100.09,
2007-10,99.38,
2008-01,97.93,
2008-04,99.33,
2008-07,100.37,
2008-10,99.31,
2009-01,97.61,
2009-04,96.80,
2009-07,97.52,
2009-10,98.17,
2010-01,98.36,
2010-04,100.29,
2010-07,100.02,
2010-10,101.33,
2011-01,99.27,
2011-04,100.85,
2011-07,100.79,
2011-10,102.17,
2012-01,106.75,
2012-04,106.24,
2012-07,107.18,
2012-10,106.32,
2013-01,102.00,
2013-04,102.39,
2013-07,102.10,
2013-10,102.04,
2014-01,103.61,
2014-04,102.08,
2014-07,103.48,
2014-10,102.58,
