"",BBK01.OEXB06N,BBK01.OEXB06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:58,
2002-01,16.809,
2002-04,16.691,
2002-07,16.459,
2002-10,17.492,
2003-01,16.808,
2003-04,16.990,
2003-07,17.022,
2003-10,16.294,
2004-01,16.773,
2004-04,15.371,
2004-07,15.821,
2004-10,13.084,
2005-01,15.373,
2005-04,14.892,
2005-07,13.903,
2005-10,14.844,
2006-01,14.122,
2006-04,14.108,
2006-07,14.286,
2006-10,13.509,
2007-01,15.199,
2007-04,14.512,
2007-07,13.804,
2007-10,13.820,
2008-01,14.881,
2008-04,15.501,
2008-07,17.213,
2008-10,15.935,
2009-01,16.453,
2009-04,15.801,
2009-07,14.121,
2009-10,12.010,
2010-01,12.419,
2010-04,13.510,
2010-07,13.798,
2010-10,12.406,
2011-01,16.328,
2011-04,13.373,
2011-07,16.221,
2011-10,11.575,
2012-01,12.634,
2012-04,12.350,
2012-07,12.391,
2012-10,13.656,
2013-01,15.651,
2013-04,16.487,
2013-07,15.519,
2013-10,14.083,
2014-01,15.604,
2014-04,15.241,
2014-07,15.136,
