"",BBK01.OEAF32R,BBK01.OEAF32R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:45,
2002-01,5.781,
2002-04,5.839,
2002-07,5.901,
2002-10,6.017,
2003-01,5.971,
2003-04,6.026,
2003-07,6.070,
2003-10,6.086,
2004-01,6.042,
2004-04,6.049,
2004-07,6.055,
2004-10,6.055,
2005-01,6.748,
2005-04,6.777,
2005-07,6.789,
2005-10,6.773,
2006-01,6.737,
2006-04,6.839,
2006-07,6.915,
2006-10,6.891,
2007-01,6.904,
2007-04,6.986,
2007-07,7.020,
2007-10,7.048,
2008-01,6.930,
2008-04,6.872,
2008-07,6.933,
2008-10,6.926,
2009-01,6.851,
2009-04,7.192,
2009-07,7.203,
2009-10,7.247,
2010-01,7.244,
2010-04,7.258,
2010-07,7.299,
2010-10,7.348,
2011-01,7.335,
2011-04,7.342,
2011-07,7.387,
2011-10,7.457,
2012-01,7.472,
2012-04,7.609,
2012-07,7.687,
2012-10,7.719,
2013-01,7.721,
2013-04,7.784,
2013-07,7.866,
2013-10,7.914,
2014-01,7.943,
2014-04,8.003,
2014-07,8.083,
