"",BBK01.RJ7491,BBK01.RJ7491_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:35:32,
1989,-,Nothing exists
1990,-,Nothing exists
1991,-,Nothing exists
1992,.,No value available
1993,.,No value available
1994,.,No value available
1995,.,No value available
1996,.,No value available
1997,.,No value available
1998,.,No value available
1999,.,No value available
2000,-7,
2001,3,
2002,-12,
2003,9,
2004,39,
2005,28,
2006,22,
2007,64,
2008,110,
2009,.,No value available
2010,.,No value available
2011,.,No value available
2012,.,No value available
