"",BBK01.OEAA07L,BBK01.OEAA07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:18,
2002-01,351.357,
2002-04,348.334,
2002-07,349.352,
2002-10,343.920,
2003-01,345.829,
2003-04,348.893,
2003-07,352.247,
2003-10,357.862,
2004-01,355.698,
2004-04,355.054,
2004-07,357.070,
2004-10,355.472,
2005-01,356.798,
2005-04,358.232,
2005-07,359.629,
2005-10,357.128,
2006-01,354.149,
2006-04,345.790,
2006-07,344.865,
2006-10,342.672,
2007-01,333.816,
2007-04,330.524,
2007-07,340.728,
2007-10,348.090,
2008-01,354.726,
2008-04,342.288,
2008-07,364.787,
2008-10,364.298,
2009-01,355.558,
2009-04,354.057,
2009-07,324.712,
2009-10,321.366,
2010-01,319.191,
2010-04,320.414,
2010-07,322.531,
2010-10,320.412,
2011-01,317.456,
2011-04,317.283,
2011-07,315.908,
2011-10,312.975,
2012-01,309.725,
2012-04,311.683,
2012-07,309.897,
2012-10,303.176,
2013-01,301.700,
2013-04,300.991,
2013-07,301.847,
2013-10,301.527,
2014-01,300.000,
2014-04,297.663,
2014-07,300.873,
