"",BBFB1.M.N.DE.W1.S1.S1.T.C.D45.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D45.D.F5._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Equity / Other / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:34,
1991-01,45.946,
1991-02,145.994,
1991-03,54.985,
1991-04,147.044,
1991-05,138.696,
1991-06,68.104,
1991-07,99.461,
1991-08,102.154,
1991-09,73.249,
1991-10,108.268,
1991-11,97.208,
1991-12,181.248,
1992-01,127.174,
1992-02,84.786,
1992-03,111.029,
1992-04,103.480,
1992-05,80.114,
1992-06,73.912,
1992-07,105.938,
1992-08,180.492,
1992-09,64.884,
1992-10,166.878,
1992-11,141.186,
1992-12,135.286,
1993-01,116.292,
1993-02,102.975,
1993-03,71.404,
1993-04,108.557,
1993-05,74.958,
1993-06,116.328,
1993-07,167.622,
1993-08,134.734,
1993-09,79.843,
1993-10,125.192,
1993-11,87.153,
1993-12,155.918,
1994-01,78.474,
1994-02,113.265,
1994-03,117.137,
1994-04,62.301,
1994-05,73.708,
1994-06,109.673,
1994-07,99.141,
1994-08,57.811,
1994-09,54.395,
1994-10,123.558,
1994-11,89.309,
1994-12,89.367,
1995-01,72.474,
1995-02,103.597,
1995-03,102.569,
1995-04,98.792,
1995-05,132.316,
1995-06,131.586,
1995-07,159.784,
1995-08,86.353,
1995-09,244.795,
1995-10,96.601,
1995-11,93.000,
1995-12,135.509,
1996-01,81.617,
1996-02,53.329,
1996-03,74.092,
1996-04,58.159,
1996-05,49.949,
1996-06,142.026,
1996-07,173.289,
1996-08,98.871,
1996-09,69.239,
1996-10,185.800,
1996-11,109.543,
1996-12,82.532,
1997-01,177.958,
1997-02,136.624,
1997-03,56.247,
1997-04,149.388,
1997-05,153.982,
1997-06,32.971,
1997-07,126.839,
1997-08,90.129,
1997-09,142.942,
1997-10,196.356,
1997-11,115.896,
1997-12,191.353,
1998-01,83.183,
1998-02,65.110,
1998-03,126.136,
1998-04,106.349,
1998-05,87.524,
1998-06,134.824,
1998-07,135.906,
1998-08,144.151,
1998-09,112.999,
1998-10,109.078,
1998-11,109.893,
1998-12,204.224,
1999-01,129.497,
1999-02,158.236,
1999-03,121.808,
1999-04,189.787,
1999-05,125.363,
1999-06,183.495,
1999-07,191.049,
1999-08,131.062,
1999-09,163.979,
1999-10,144.910,
1999-11,175.817,
1999-12,249.333,
2000-01,245.970,
2000-02,127.350,
2000-03,146.880,
2000-04,170.124,
2000-05,144.790,
2000-06,132.315,
2000-07,124.661,
2000-08,117.981,
2000-09,126.991,
2000-10,205.806,
2000-11,115.591,
2000-12,175.036,
2001-01,225.513,
2001-02,145.096,
2001-03,210.756,
2001-04,191.647,
2001-05,165.800,
2001-06,156.039,
2001-07,210.604,
2001-08,180.171,
2001-09,157.706,
2001-10,223.327,
2001-11,183.871,
2001-12,149.634,
2002-01,105.964,
2002-02,213.261,
2002-03,222.496,
2002-04,236.767,
2002-05,164.060,
2002-06,249.559,
2002-07,287.737,
2002-08,221.426,
2002-09,352.931,
2002-10,283.534,
2002-11,221.691,
2002-12,270.894,
2003-01,384.929,
2003-02,293.156,
2003-03,369.868,
2003-04,386.592,
2003-05,253.242,
2003-06,342.362,
2003-07,473.302,
2003-08,302.657,
2003-09,261.432,
2003-10,332.854,
2003-11,185.768,
2003-12,506.212,
2004-01,356.504,
2004-02,340.377,
2004-03,388.827,
2004-04,383.466,
2004-05,216.928,
2004-06,315.840,
2004-07,525.551,
2004-08,226.561,
2004-09,302.930,
2004-10,472.638,
2004-11,209.682,
2004-12,574.962,
2005-01,523.666,
2005-02,264.710,
2005-03,450.534,
2005-04,642.673,
2005-05,333.680,
2005-06,535.867,
2005-07,522.396,
2005-08,329.787,
2005-09,517.235,
2005-10,566.035,
2005-11,408.897,
2005-12,684.885,
2006-01,583.438,
2006-02,340.811,
2006-03,469.437,
2006-04,489.688,
2006-05,381.852,
2006-06,682.546,
2006-07,544.288,
2006-08,410.028,
2006-09,570.778,
2006-10,603.308,
2006-11,284.463,
2006-12,936.634,
2007-01,514.434,
2007-02,271.224,
2007-03,546.188,
2007-04,554.937,
2007-05,349.400,
2007-06,565.559,
2007-07,628.882,
2007-08,366.369,
2007-09,440.816,
2007-10,648.765,
2007-11,338.244,
2007-12,736.832,
2008-01,583.555,
2008-02,295.258,
2008-03,460.618,
2008-04,565.271,
2008-05,204.037,
2008-06,583.264,
2008-07,667.955,
2008-08,385.093,
2008-09,606.727,
2008-10,627.912,
2008-11,307.271,
2008-12,873.057,
2009-01,593.939,
2009-02,336.273,
2009-03,559.680,
2009-04,627.146,
2009-05,307.298,
2009-06,608.215,
2009-07,843.547,
2009-08,375.405,
2009-09,526.033,
2009-10,731.296,
2009-11,321.809,
2009-12,733.563,
2010-01,557.919,
2010-02,393.501,
2010-03,578.683,
2010-04,657.838,
2010-05,275.237,
2010-06,716.274,
2010-07,704.191,
2010-08,307.602,
2010-09,587.609,
2010-10,704.944,
2010-11,470.562,
2010-12,949.960,
2011-01,613.721,
2011-02,503.490,
2011-03,503.584,
2011-04,539.925,
2011-05,381.306,
2011-06,579.784,
2011-07,641.171,
2011-08,411.656,
2011-09,560.864,
2011-10,648.215,
2011-11,348.608,
2011-12,706.021,
2012-01,521.405,
2012-02,322.169,
2012-03,615.704,
2012-04,600.957,
2012-05,317.593,
2012-06,477.767,
2012-07,550.588,
2012-08,324.754,
2012-09,533.241,
2012-10,592.386,
2012-11,467.950,
2012-12,741.442,
2013-01,569.108,
2013-02,234.899,
2013-03,460.269,
2013-04,500.876,
2013-05,312.901,
2013-06,417.137,
2013-07,546.083,
2013-08,193.352,
2013-09,431.428,
2013-10,479.829,
2013-11,314.494,
2013-12,817.067,
2014-01,393.793,
2014-02,153.435,Provisional value
2014-03,270.228,Provisional value
2014-04,379.697,Provisional value
2014-05,170.065,Provisional value
2014-06,301.015,Provisional value
2014-07,396.283,Provisional value
2014-08,257.298,Provisional value
2014-09,869.977,
2014-10,460.028,
2014-11,225.428,
2014-12,352.879,Provisional value
