"",BBK01.OEAH09N,BBK01.OEAH09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:14,
2002-01,2.673,
2002-04,2.600,
2002-07,2.556,
2002-10,2.663,
2003-01,2.543,
2003-04,2.481,
2003-07,2.381,
2003-10,2.596,
2004-01,2.598,
2004-04,2.430,
2004-07,2.414,
2004-10,2.379,
2005-01,2.462,
2005-04,2.372,
2005-07,2.411,
2005-10,2.450,
2006-01,2.595,
2006-04,2.864,
2006-07,3.429,
2006-10,4.104,
2007-01,5.454,
2007-04,6.545,
2007-07,7.694,
2007-10,8.979,
2008-01,9.971,
2008-04,10.804,
2008-07,11.548,
2008-10,12.677,
2009-01,11.951,
2009-04,9.761,
2009-07,7.471,
2009-10,5.501,
2010-01,4.234,
2010-04,3.665,
2010-07,3.748,
2010-10,3.865,
2011-01,4.431,
2011-04,4.690,
2011-07,4.951,
2011-10,5.399,
2012-01,5.462,
2012-04,5.609,
2012-07,5.385,
2012-10,5.237,
2013-01,4.660,
2013-04,4.226,
2013-07,4.003,
2013-10,3.838,
2014-01,3.629,
2014-04,3.718,
2014-07,3.306,
