"",BBK01.OEXB18R,BBK01.OEXB18R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:52,
2002-01,0.134,
2002-04,0.135,
2002-07,0.142,
2002-10,0.141,
2003-01,0.139,
2003-04,0.132,
2003-07,0.131,
2003-10,0.128,
2004-01,0.125,
2004-04,0.125,
2004-07,0.123,
2004-10,0.102,
2005-01,0.085,
2005-04,0.081,
2005-07,0.080,
2005-10,0.076,
2006-01,0.061,
2006-04,0.061,
2006-07,0.057,
2006-10,0.053,
2007-01,0.060,
2007-04,0.063,
2007-07,0.054,
2007-10,0.056,
2008-01,0.056,
2008-04,0.054,
2008-07,0.056,
2008-10,0.060,
2009-01,0.045,
2009-04,0.047,
2009-07,0.047,
2009-10,0.046,
2010-01,0.042,
2010-04,0.039,
2010-07,0.043,
2010-10,0.040,
2011-01,0.040,
2011-04,0.035,
2011-07,0.037,
2011-10,0.035,
2012-01,0.034,
2012-04,0.033,
2012-07,0.033,
2012-10,0.035,
2013-01,0.034,
2013-04,0.033,
2013-07,0.034,
2013-10,0.034,
2014-01,0.033,
2014-04,0.041,
2014-07,0.040,
