"",BBSF2.M.1.T.00000.IMM01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:49,
1990-12,.,No value available
1991-01,.,No value available
1991-02,.,No value available
1991-03,.,No value available
1991-04,.,No value available
1991-05,.,No value available
1991-06,.,No value available
1991-07,.,No value available
1991-08,.,No value available
1991-09,.,No value available
1991-10,.,No value available
1991-11,.,No value available
1991-12,.,No value available
1992-01,.,No value available
1992-02,.,No value available
1992-03,.,No value available
1992-04,.,No value available
1992-05,.,No value available
1992-06,.,No value available
1992-07,.,No value available
1992-08,.,No value available
1992-09,.,No value available
1992-10,.,No value available
1992-11,.,No value available
1992-12,.,No value available
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,6154,
1993-05,6374,
1993-06,6453,
1993-07,6608,
1993-08,7012,
1993-09,7117,
1993-10,5856,
1993-11,5707,
1993-12,5803,
1994-01,5392,
1994-02,5747,
1994-03,6575,
1994-04,6943,
1994-05,6971,
1994-06,6909,
1994-07,6835,
1994-08,6914,
1994-09,6960,
1994-10,6886,
1994-11,6954,
1994-12,6668,
1995-01,6627,
1995-02,6775,
1995-03,6874,
1995-04,6742,
1995-05,7088,
1995-06,7718,
1995-07,8152,
1995-08,8428,
1995-09,8682,
1995-10,9116,
1995-11,9254,
1995-12,9160,
1996-01,9862,
1996-02,10687,
1996-03,10659,
1996-04,10768,
1996-05,11240,
1996-06,11531,
1996-07,10783,
1996-08,10695,
1996-09,11330,
1996-10,11804,
1996-11,11571,
1996-12,11161,
1997-01,11069,
1997-02,11579,
1997-03,11859,
1997-04,12151,
1997-05,12148,
1997-06,12154,
1997-07,12289,
1997-08,12134,
1997-09,11868,
1997-10,10273,
1997-11,10299,
1997-12,10313,
1998-01,10164,
1998-02,10886,
1998-03,10885,
1998-04,10830,
1998-05,10536,
1998-06,10558,
1998-07,10827,
1998-08,10255,
1998-09,9756,
1998-10,10950,
1998-11,11124,
1998-12,10043,
1999-01,11032,
1999-02,11780,
1999-03,13173,
1999-04,13762,
1999-05,14750,
1999-06,15035,
1999-07,15170,
1999-08,14968,
1999-09,14730,
1999-10,14282,
1999-11,13896,
1999-12,13314,
2000-01,12912,
2000-02,12291,
2000-03,11965,
2000-04,11649,
2000-05,11133,
2000-06,10405,
2000-07,10038,
2000-08,9817,
2000-09,9312,
2000-10,9075,
2000-11,8872,
2000-12,8409,
2001-01,8347,
2001-02,8775,
2001-03,8977,
2001-04,9147,
2001-05,9408,
2001-06,9227,
2001-07,9462,
2001-08,9044,
2001-09,8378,
2001-10,10964,
2001-11,12015,
2001-12,11940,
2002-01,13045,
2002-02,13640,
2002-03,14291,
2002-04,13488,
2002-05,14236,
2002-06,13030,
2002-07,13610,
2002-08,14067,
2002-09,15109,
2002-10,16692,
2002-11,16589,
2002-12,15860,
2003-01,16205,
2003-02,16896,
2003-03,16201,
2003-04,17225,
2003-05,17454,
2003-06,17403,
2003-07,17901,
2003-08,17853,
2003-09,17785,
2003-10,18963,
2003-11,18114,
2003-12,17074,
2004-01,16274,
2004-02,16039,
2004-03,16108,
2004-04,15698,
2004-05,15411,
2004-06,15457,
2004-07,15394,
2004-08,14906,
2004-09,15244,
2004-10,14453,
2004-11,13675,
2004-12,13128,
2005-01,13026,
2005-02,13079,
2005-03,13812,
2005-04,13862,
2005-05,13923,
2005-06,13654,
2005-07,14007,
2005-08,14183,
2005-09,14144,
2005-10,14815,
2005-11,14078,
2005-12,11651,
2006-01,9373,
2006-02,8464,
2006-03,7700,
2006-04,7751,
2006-05,8044,
2006-06,8124,
2006-07,8255,
2006-08,8282,
2006-09,9171,
2006-10,9572,
2006-11,9523,
2006-12,9616,
2007-01,10616,
2007-02,11344,
2007-03,12115,
2007-04,12550,
2007-05,12654,
2007-06,12591,
2007-07,13163,
2007-08,12934,
2007-09,15381,
2007-10,15256,
2007-11,14535,
2007-12,14803,
2008-01,13802,
2008-02,13828,
2008-03,13718,
2008-04,13782,
2008-05,13507,
2008-06,13148,
2008-07,12516,
2008-08,12183,
2008-09,11251,
2008-10,10033,
2008-11,9931,
2008-12,9387,
2009-01,9617,
2009-02,10112,
2009-03,10250,
2009-04,10509,
2009-05,10697,
2009-06,10958,
2009-07,11113,
2009-08,10665,
2009-09,10950,
2009-10,11070,
2009-11,11675,
2009-12,11544,
2010-01,12366,
2010-02,12972,
2010-03,13249,
2010-04,13303,
2010-05,13040,
2010-06,12890,
2010-07,12836,
2010-08,13120,
2010-09,13023,
2010-10,12429,
2010-11,12401,
2010-12,12052,
2011-01,10538,
2011-02,10014,
2011-03,9463,
2011-04,8884,
2011-05,9354,
2011-06,9087,
2011-07,9032,
2011-08,8904,
2011-09,8438,
2011-10,8804,
2011-11,9016,
2011-12,9018,
2012-01,8978,
2012-02,8982,
2012-03,9118,
2012-04,9048,
2012-05,7889,
2012-06,8033,
2012-07,7836,
2012-08,8086,
2012-09,8290,
2012-10,8579,
2012-11,8712,
2012-12,8802,
2013-01,9476,
2013-02,10147,
2013-03,10181,
2013-04,10778,
2013-05,10845,
2013-06,11230,
2013-07,11608,
2013-08,11952,
2013-09,12025,
2013-10,12052,
2013-11,12236,
2013-12,11858,
2014-01,12216,
2014-02,12294,
2014-03,12346,
2014-04,11871,
2014-05,12193,
2014-06,12077,
2014-07,12139,
2014-08,12099,
2014-09,11839,
2014-10,12010,
2014-11,12149,
