"",BBSF2.M.1.T.00000.DHE01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DHE01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Hedge funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:52,
2009-09,68,
2009-10,71,
2009-11,61,
2009-12,60,
2010-01,57,
2010-02,65,
2010-03,64,
2010-04,80,
2010-05,84,
2010-06,87,
2010-07,88,
2010-08,87,
2010-09,36,
2010-10,41,
2010-11,37,
2010-12,28,
2011-01,6,
2011-02,7,
2011-03,3,
2011-04,14,
2011-05,6,
2011-06,17,
2011-07,6,
2011-08,7,
2011-09,12,
2011-10,8,
2011-11,7,
2011-12,6,
2012-01,7,
2012-02,8,
2012-03,9,
2012-04,52,
2012-05,12,
2012-06,13,
2012-07,8,
2012-08,12,
2012-09,10,
2012-10,49,
2012-11,12,
2012-12,49,
2013-01,7,
2013-02,14,
2013-03,37,
2013-04,5,
2013-05,4,
2013-06,3,
2013-07,3,
2013-08,2,
2013-09,3,
2013-10,2,
2013-11,2,
2013-12,3,
2014-01,3,
2014-02,4,
2014-03,3,
2014-04,13,
2014-05,2,
2014-06,2,
2014-07,2,
2014-08,2,
2014-09,1,
2014-10,2,
2014-11,2,
