"",BBDA1.M.DE.N.IM.S.GP09IS10.W1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.GP09IS10.W1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Computer, electronic and optical products plus electrical equipment (new: items 26+27) / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:59,
2008-01,10394336,
2008-02,9529161,
2008-03,9668269,
2008-04,10076868,
2008-05,8826240,
2008-06,9100443,
2008-07,10047074,
2008-08,9043440,
2008-09,10888912,
2008-10,11594454,
2008-11,11328222,
2008-12,9288094,
2009-01,8428506,
2009-02,7691743,
2009-03,8605033,
2009-04,7780167,
2009-05,7162109,
2009-06,7896291,
2009-07,8150089,
2009-08,7795423,
2009-09,9622671,
2009-10,10298988,
2009-11,10464376,
2009-12,9332613,
2010-01,8629022,
2010-02,8853796,
2010-03,11056966,
2010-04,9699190,
2010-05,10496808,
2010-06,11735467,
2010-07,10690100,
2010-08,10549101,
2010-09,12543297,
2010-10,12385158,
2010-11,13097496,
2010-12,11521033,
2011-01,10719985,
2011-02,10067531,
2011-03,11583877,
2011-04,10657214,
2011-05,11128077,
2011-06,10773500,
2011-07,10600087,
2011-08,10983711,
2011-09,11776802,
2011-10,12142085,
2011-11,12457913,
2011-12,11329333,
2012-01,10671500,
2012-02,10676042,
2012-03,11651377,
2012-04,10670293,
2012-05,11111034,
2012-06,11250422,
2012-07,10815723,
2012-08,10710300,
2012-09,11320398,
2012-10,12460398,
2012-11,12036359,
2012-12,10001434,
2013-01,11181311,
2013-02,9754565,
2013-03,10334189,
2013-04,11054115,
2013-05,10198001,
2013-06,10333118,
2013-07,10833261,
2013-08,9967156,
2013-09,11408216,
2013-10,12142567,
2013-11,11679414,
2013-12,10202395,
2014-01,11814412,
2014-02,10594670,
2014-03,11380046,
2014-04,11169497,
2014-05,10974603,
2014-06,11203976,
2014-07,11579369,
2014-08,10633848,
2014-09,12953284,
2014-10,13588146,
2014-11,13081002,
2014-12,12264826,
