"",BBK01.CEB90N,BBK01.CEB90N_FLAGS
"",Other mutual funds shares\n debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:51,
1991-01,0.0,
1991-04,0.0,
1991-07,0.0,
1991-10,4.0,
1992-01,0.0,
1992-04,0.0,
1992-07,0.0,
1992-10,4.0,
1993-01,0.0,
1993-04,0.0,
1993-07,0.0,
1993-10,6.0,
1994-01,6.6,
1994-04,7.5,
1994-07,7.5,
1994-10,8.0,
1995-01,7.8,
1995-04,7.3,
1995-07,6.9,
1995-10,6.8,
1996-01,6.7,
1996-04,6.4,
1996-07,6.3,
1996-10,5.4,
1997-01,6.1,
1997-04,6.6,
1997-07,5.0,
1997-10,3.5,
1998-01,3.5,
1998-04,2.9,
1998-07,2.7,
1998-10,1.9,
1999-01,4.4,
1999-04,3.2,
1999-07,3.8,
1999-10,7.8,
2000-01,13.2,
2000-04,15.5,
2000-07,17.5,
2000-10,19.6,
2001-01,17.6,
2001-04,16.8,
2001-07,16.1,
2001-10,17.8,
2002-01,19.3,
2002-04,19.0,
2002-07,20.1,
2002-10,18.9,
2003-01,17.7,
2003-04,17.6,
2003-07,16.6,
2003-10,17.7,
2004-01,18.5,
2004-04,17.0,
2004-07,16.3,
2004-10,19.4,
2005-01,19.7,
2005-04,20.0,
2005-07,23.6,
2005-10,26.3,
2006-01,136.1,
2006-04,142.9,
2006-07,141.3,
2006-10,126.1,
2007-01,134.9,
2007-04,142.6,
2007-07,138.1,
2007-10,137.5,
2008-01,125.3,
2008-04,125.7,
2008-07,123.9,
2008-10,110.8,
2009-01,111.1,
2009-04,117.5,
2009-07,150.8,
2009-10,125.3,
2010-01,126.8,
2010-04,119.3,
2010-07,122.7,
2010-10,129.2,
2011-01,131.2,
2011-04,120.5,
2011-07,114.1,
2011-10,115.4,
2012-01,126.8,
2012-04,128.6,
2012-07,129.2,
2012-10,128.0,
2013-01,128.8,
2013-04,125.7,
2013-07,130.0,
2013-10,134.8,
2014-01,136.2,
