"",BBK01.OEHB10H,BBK01.OEHB10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:13,
2002-01,6.142,
2002-04,6.151,
2002-07,5.959,
2002-10,5.851,
2003-01,5.890,
2003-04,5.744,
2003-07,5.723,
2003-10,5.373,
2004-01,5.369,
2004-04,5.385,
2004-07,5.114,
2004-10,4.826,
2005-01,4.892,
2005-04,4.716,
2005-07,4.507,
2005-10,4.193,
2006-01,4.390,
2006-04,4.455,
2006-07,4.344,
2006-10,4.087,
2007-01,4.124,
2007-04,4.216,
2007-07,4.126,
2007-10,4.099,
2008-01,4.270,
2008-04,4.253,
2008-07,4.096,
2008-10,4.223,
2009-01,4.564,
2009-04,4.557,
2009-07,4.416,
2009-10,4.241,
2010-01,4.249,
2010-04,4.296,
2010-07,4.188,
2010-10,3.802,
2011-01,4.118,
2011-04,4.196,
2011-07,4.089,
2011-10,4.006,
2012-01,4.174,
2012-04,4.206,
2012-07,4.220,
2012-10,4.259,
2013-01,4.414,
2013-04,4.391,
2013-07,4.203,
2013-10,4.003,
2014-01,4.188,
2014-04,4.144,
2014-07,4.156,
