"",BBK01.OEBI02S,BBK01.OEBI02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:23,
2002-01,1.652,
2002-04,1.823,
2002-07,1.810,
2002-10,1.839,
2003-01,1.747,
2003-04,1.748,
2003-07,1.789,
2003-10,1.941,
2004-01,1.818,
2004-04,1.894,
2004-07,1.929,
2004-10,2.050,
2005-01,2.472,
2005-04,2.379,
2005-07,2.459,
2005-10,2.626,
2006-01,2.550,
2006-04,2.547,
2006-07,2.529,
2006-10,2.784,
2007-01,2.676,
2007-04,2.576,
2007-07,2.543,
2007-10,2.678,
2008-01,2.483,
2008-04,2.462,
2008-07,2.558,
2008-10,3.013,
2009-01,3.543,
2009-04,3.964,
2009-07,3.983,
2009-10,4.231,
2010-01,4.171,
2010-04,4.432,
2010-07,4.511,
2010-10,4.774,
2011-01,4.482,
2011-04,4.455,
2011-07,4.518,
2011-10,4.403,
2012-01,4.166,
2012-04,4.012,
2012-07,4.158,
2012-10,4.368,
2013-01,4.334,
2013-04,4.481,
2013-07,4.613,
2013-10,4.891,
2014-01,4.727,
2014-04,4.811,
2014-07,4.986,
