"",BBK01.OEAF12K,BBK01.OEAF12K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:02,
2002-01,2.197,
2002-04,2.242,
2002-07,2.146,
2002-10,1.981,
2003-01,1.848,
2003-04,1.898,
2003-07,1.762,
2003-10,1.837,
2004-01,1.614,
2004-04,1.606,
2004-07,1.607,
2004-10,2.274,
2005-01,1.720,
2005-04,1.735,
2005-07,1.709,
2005-10,1.697,
2006-01,1.607,
2006-04,1.651,
2006-07,1.634,
2006-10,1.667,
2007-01,1.592,
2007-04,1.530,
2007-07,1.534,
2007-10,1.800,
2008-01,1.770,
2008-04,1.536,
2008-07,1.511,
2008-10,1.478,
2009-01,1.470,
2009-04,1.437,
2009-07,1.451,
2009-10,1.551,
2010-01,1.590,
2010-04,2.700,
2010-07,2.654,
2010-10,2.815,
2011-01,2.811,
2011-04,2.958,
2011-07,2.867,
2011-10,2.808,
2012-01,2.810,
2012-04,2.927,
2012-07,2.720,
2012-10,2.782,
2013-01,2.978,
2013-04,2.908,
2013-07,2.874,
2013-10,3.013,
2014-01,3.026,
2014-04,3.207,
2014-07,3.093,
