"",BBK01.OEAH48O,BBK01.OEAH48O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:05,
2002-01,0.018,
2002-04,0.016,
2002-07,0.019,
2002-10,0.020,
2003-01,0.022,
2003-04,0.022,
2003-07,0.021,
2003-10,0.021,
2004-01,0.024,
2004-04,0.019,
2004-07,0.019,
2004-10,0.020,
2005-01,0.028,
2005-04,0.029,
2005-07,0.030,
2005-10,0.041,
2006-01,0.041,
2006-04,0.045,
2006-07,0.047,
2006-10,0.047,
2007-01,0.049,
2007-04,0.044,
2007-07,0.051,
2007-10,0.093,
2008-01,0.109,
2008-04,0.111,
2008-07,0.103,
2008-10,0.124,
2009-01,0.086,
2009-04,0.084,
2009-07,0.080,
2009-10,0.088,
2010-01,0.071,
2010-04,0.067,
2010-07,0.061,
2010-10,0.065,
2011-01,0.056,
2011-04,0.061,
2011-07,0.067,
2011-10,0.072,
2012-01,0.075,
2012-04,0.087,
2012-07,0.081,
2012-10,0.071,
2013-01,0.063,
2013-04,0.030,
2013-07,0.028,
2013-10,0.026,
2014-01,0.025,
2014-04,0.037,
2014-07,0.033,
