"",BBK01.OEBI02N,BBK01.OEBI02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:21,
2002-01,50.952,
2002-04,55.219,
2002-07,54.613,
2002-10,60.710,
2003-01,59.312,
2003-04,58.257,
2003-07,58.216,
2003-10,64.943,
2004-01,62.442,
2004-04,60.965,
2004-07,60.695,
2004-10,42.406,
2005-01,51.293,
2005-04,53.862,
2005-07,51.916,
2005-10,54.182,
2006-01,52.652,
2006-04,54.968,
2006-07,51.799,
2006-10,55.458,
2007-01,54.859,
2007-04,55.690,
2007-07,58.069,
2007-10,58.200,
2008-01,58.057,
2008-04,58.915,
2008-07,59.629,
2008-10,64.717,
2009-01,69.086,
2009-04,75.773,
2009-07,77.282,
2009-10,82.129,
2010-01,77.545,
2010-04,81.165,
2010-07,79.012,
2010-10,81.256,
2011-01,78.296,
2011-04,82.696,
2011-07,82.720,
2011-10,88.903,
2012-01,85.796,
2012-04,89.263,
2012-07,86.033,
2012-10,91.826,
2013-01,91.173,
2013-04,95.221,
2013-07,96.404,
2013-10,97.018,
2014-01,98.102,
2014-04,95.889,
2014-07,99.699,
