"",BBK01.OEYB02L,BBK01.OEYB02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:04,
2002-01,10.845,
2002-04,8.565,
2002-07,8.188,
2002-10,8.780,
2003-01,13.543,
2003-04,10.706,
2003-07,9.816,
2003-10,11.124,
2004-01,9.192,
2004-04,8.680,
2004-07,7.891,
2004-10,9.260,
2005-01,9.178,
2005-04,8.453,
2005-07,8.489,
2005-10,9.683,
2006-01,9.710,
2006-04,9.877,
2006-07,9.614,
2006-10,9.856,
2007-01,9.798,
2007-04,9.756,
2007-07,9.979,
2007-10,10.884,
2008-01,9.753,
2008-04,11.262,
2008-07,10.438,
2008-10,10.425,
2009-01,10.397,
2009-04,8.404,
2009-07,6.254,
2009-10,5.378,
2010-01,5.624,
2010-04,5.346,
2010-07,5.034,
2010-10,5.134,
2011-01,4.959,
2011-04,3.956,
2011-07,6.727,
2011-10,4.985,
2012-01,6.379,
2012-04,6.022,
2012-07,7.736,
2012-10,7.510,
2013-01,6.788,
2013-04,6.731,
2013-07,7.228,
2013-10,8.035,
2014-01,7.923,
2014-04,8.513,
2014-07,6.355,
