"",BBSF2.M.1.T.00000.HED01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.HED01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Funds total / Hedgefunds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:10,
2009-09,-,Nothing exists
2009-10,20,
2009-11,20,
2009-12,20,
2010-01,20,
2010-02,10,
2010-03,10,
2010-04,-,Nothing exists
2010-05,0,
2010-06,0,
2010-07,0,
2010-08,0,
2010-09,0,
2010-10,0,
2010-11,0,
2010-12,0,
2011-01,0,
2011-02,0,
2011-03,0,
2011-04,0,
2011-05,-,Nothing exists
2011-06,-,Nothing exists
2011-07,1,
2011-08,1,
2011-09,1,
2011-10,1,
2011-11,-,Nothing exists
2011-12,-,Nothing exists
2012-01,0,
2012-02,-,Nothing exists
2012-03,0,
2012-04,5,
2012-05,4,
2012-06,-,Nothing exists
2012-07,4,
2012-08,5,
2012-09,15,
2012-10,15,
2012-11,15,
2012-12,15,
2013-01,19,
2013-02,19,
2013-03,19,
2013-04,27,
2013-05,24,
2013-06,19,
2013-07,18,
2013-08,8,
2013-09,18,
2013-10,18,
2013-11,18,
2013-12,25,
2014-01,25,
2014-02,25,
2014-03,28,
2014-04,38,
2014-05,19,
2014-06,19,
2014-07,18,
2014-08,11,
2014-09,11,
2014-10,11,
2014-11,11,
