"",BBFB1.M.N.DE.W1.S1.S1.T.C.SH._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SH._Z._Z._Z._T._X.N_FLAGS
"",Current account / Charges for the use of intellectual property / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:34,
1991-01,119.994,
1991-02,138.840,
1991-03,95.232,
1991-04,105.485,
1991-05,167.023,
1991-06,78.272,
1991-07,120.502,
1991-08,192.775,
1991-09,97.590,
1991-10,103.277,
1991-11,197.051,
1991-12,139.874,
1992-01,102.245,
1992-02,215.519,
1992-03,104.453,
1992-04,136.163,
1992-05,116.368,
1992-06,129.559,
1992-07,109.297,
1992-08,134.080,
1992-09,124.509,
1992-10,111.766,
1992-11,175.900,
1992-12,157.306,
1993-01,137.074,
1993-02,159.606,
1993-03,99.048,
1993-04,133.508,
1993-05,136.153,
1993-06,146.546,
1993-07,132.664,
1993-08,129.190,
1993-09,174.558,
1993-10,87.065,
1993-11,150.085,
1993-12,148.116,
1994-01,152.074,
1994-02,176.194,
1994-03,173.886,
1994-04,131.427,
1994-05,166.849,
1994-06,89.921,
1994-07,160.282,
1994-08,170.182,
1994-09,164.497,
1994-10,83.138,
1994-11,153.819,
1994-12,129.896,
1995-01,211.662,
1995-02,173.946,
1995-03,108.453,
1995-04,116.696,
1995-05,177.422,
1995-06,136.176,
1995-07,168.612,
1995-08,211.713,
1995-09,149.974,
1995-10,161.368,
1995-11,205.347,
1995-12,161.647,
1996-01,130.885,
1996-02,191.592,
1996-03,79.717,
1996-04,164.127,
1996-05,204.379,
1996-06,124.764,
1996-07,157.352,
1996-08,215.142,
1996-09,128.752,
1996-10,146.978,
1996-11,247.683,
1996-12,430.773,
1997-01,166.339,
1997-02,194.310,
1997-03,191.187,
1997-04,144.964,
1997-05,199.664,
1997-06,168.345,
1997-07,316.365,
1997-08,208.126,
1997-09,177.272,
1997-10,196.795,
1997-11,230.486,
1997-12,238.507,
1998-01,199.525,
1998-02,213.628,
1998-03,377.550,
1998-04,170.968,
1998-05,247.132,
1998-06,233.356,
1998-07,232.642,
1998-08,213.232,
1998-09,158.472,
1998-10,174.467,
1998-11,195.336,
1998-12,364.712,
1999-01,144.808,
1999-02,182.475,
1999-03,176.791,
1999-04,207.263,
1999-05,250.938,
1999-06,138.961,
1999-07,230.258,
1999-08,168.324,
1999-09,213.482,
1999-10,228.431,
1999-11,283.205,
1999-12,309.249,
2000-01,104.717,
2000-02,274.196,
2000-03,149.117,
2000-04,206.724,
2000-05,217.370,
2000-06,233.866,
2000-07,221.262,
2000-08,228.995,
2000-09,312.051,
2000-10,264.945,
2000-11,260.722,
2000-12,293.039,
2001-01,278.273,
2001-02,296.795,
2001-03,397.062,
2001-04,234.452,
2001-05,246.424,
2001-06,218.718,
2001-07,250.210,
2001-08,277.041,
2001-09,168.547,
2001-10,199.820,
2001-11,198.002,
2001-12,288.058,
2002-01,280.530,
2002-02,316.461,
2002-03,254.930,
2002-04,257.464,
2002-05,259.389,
2002-06,267.780,
2002-07,245.331,
2002-08,333.132,
2002-09,246.076,
2002-10,288.038,
2002-11,313.569,
2002-12,443.621,
2003-01,247.228,
2003-02,261.518,
2003-03,244.849,
2003-04,289.835,
2003-05,198.611,
2003-06,174.410,
2003-07,256.245,
2003-08,278.788,
2003-09,204.937,
2003-10,306.054,
2003-11,339.371,
2003-12,350.075,
2004-01,346.398,
2004-02,311.384,
2004-03,205.139,
2004-04,245.234,
2004-05,222.571,
2004-06,248.627,
2004-07,324.334,
2004-08,316.290,
2004-09,365.003,
2004-10,250.445,
2004-11,282.961,
2004-12,465.556,
2005-01,1399.247,
2005-02,307.794,
2005-03,199.174,
2005-04,252.071,
2005-05,271.893,
2005-06,205.409,
2005-07,233.372,
2005-08,444.498,
2005-09,193.945,
2005-10,261.707,
2005-11,353.642,
2005-12,447.143,
2006-01,313.354,
2006-02,378.247,
2006-03,251.192,
2006-04,287.675,
2006-05,336.654,
2006-06,366.036,
2006-07,261.638,
2006-08,395.669,
2006-09,235.482,
2006-10,355.756,
2006-11,378.241,
2006-12,542.487,
2007-01,405.728,
2007-02,410.194,
2007-03,232.296,
2007-04,295.290,
2007-05,389.633,
2007-06,390.207,
2007-07,338.368,
2007-08,440.048,
2007-09,270.707,
2007-10,284.489,
2007-11,557.575,
2007-12,569.299,
2008-01,380.362,
2008-02,437.883,
2008-03,320.157,
2008-04,416.447,
2008-05,407.490,
2008-06,361.185,
2008-07,385.730,
2008-08,443.881,
2008-09,447.180,
2008-10,372.581,
2008-11,485.318,
2008-12,551.667,
2009-01,403.392,
2009-02,467.319,
2009-03,334.253,
2009-04,333.292,
2009-05,419.415,
2009-06,311.568,
2009-07,329.486,
2009-08,446.716,
2009-09,411.870,
2009-10,323.404,
2009-11,470.864,
2009-12,892.661,
2010-01,537.405,
2010-02,418.003,
2010-03,463.933,
2010-04,446.111,
2010-05,469.100,
2010-06,409.925,
2010-07,437.911,
2010-08,567.507,
2010-09,447.553,
2010-10,614.173,
2010-11,519.270,
2010-12,894.695,
2011-01,781.372,
2011-02,591.875,
2011-03,660.003,
2011-04,455.027,
2011-05,746.803,
2011-06,641.001,
2011-07,430.490,
2011-08,584.298,
2011-09,743.115,
2011-10,558.290,
2011-11,627.482,
2011-12,888.051,
2012-01,429.587,
2012-02,663.157,
2012-03,736.548,
2012-04,563.309,
2012-05,523.372,
2012-06,540.208,
2012-07,519.302,
2012-08,569.175,
2012-09,677.792,
2012-10,645.550,
2012-11,649.217,
2012-12,1122.614,
2013-01,813.372,
2013-02,782.627,
2013-03,804.923,
2013-04,837.226,
2013-05,840.415,
2013-06,883.472,
2013-07,663.445,
2013-08,849.766,
2013-09,627.391,
2013-10,670.342,
2013-11,884.891,
2013-12,1058.025,
2014-01,741.602,
2014-02,931.072,Provisional value
2014-03,854.684,Provisional value
2014-04,755.555,Provisional value
2014-05,846.869,Provisional value
2014-06,667.319,Provisional value
2014-07,798.191,Provisional value
2014-08,860.116,Provisional value
2014-09,732.458,
2014-10,736.445,
2014-11,885.807,
2014-12,1223.484,Provisional value
