"",BBSF2.M.1.T.00000.IMM01.I.F.DGG.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.DGG.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Real estate funds / Loans granted to real estate companies / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:57,
2009-09,2822,
2009-10,2837,
2009-11,2951,
2009-12,2907,
2010-01,2957,
2010-02,2819,
2010-03,2855,
2010-04,2909,
2010-05,2888,
2010-06,2841,
2010-07,2974,
2010-08,3063,
2010-09,3007,
2010-10,3018,
2010-11,2997,
2010-12,3019,
2011-01,3072,
2011-02,3094,
2011-03,3115,
2011-04,3057,
2011-05,3065,
2011-06,3073,
2011-07,3109,
2011-08,3089,
2011-09,3110,
2011-10,3067,
2011-11,2929,
2011-12,3040,
2012-01,3151,
2012-02,3162,
2012-03,3197,
2012-04,3090,
2012-05,3150,
2012-06,3162,
2012-07,3239,
2012-08,3238,
2012-09,3288,
2012-10,3372,
2012-11,3406,
2012-12,3483,
2013-01,3487,
2013-02,3463,
2013-03,3548,
2013-04,3463,
2013-05,3534,
2013-06,3699,
2013-07,3713,
2013-08,3703,
2013-09,3591,
2013-10,3599,
2013-11,3656,
2013-12,3640,
2014-01,3812,
2014-02,3979,
2014-03,3926,
2014-04,3925,
2014-05,3914,
2014-06,3891,
2014-07,3912,
2014-08,3905,
2014-09,3955,
2014-10,3930,
2014-11,3924,
