"",BBSF2.M.1.T.00000.SON01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.SON01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Funds total / Other funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:32,
2009-09,12,
2009-10,11,
2009-11,96,
2009-12,114,
2010-01,167,
2010-02,150,
2010-03,150,
2010-04,150,
2010-05,155,
2010-06,177,
2010-07,178,
2010-08,183,
2010-09,194,
2010-10,192,
2010-11,179,
2010-12,77,
2011-01,49,
2011-02,59,
2011-03,70,
2011-04,118,
2011-05,116,
2011-06,137,
2011-07,112,
2011-08,103,
2011-09,111,
2011-10,149,
2011-11,144,
2011-12,151,
2012-01,117,
2012-02,105,
2012-03,100,
2012-04,102,
2012-05,97,
2012-06,102,
2012-07,97,
2012-08,115,
2012-09,77,
2012-10,64,
2012-11,62,
2012-12,45,
2013-01,62,
2013-02,53,
2013-03,88,
2013-04,62,
2013-05,61,
2013-06,83,
2013-07,86,
2013-08,67,
2013-09,70,
2013-10,64,
2013-11,68,
2013-12,37,
2014-01,49,
2014-02,91,
2014-03,102,
2014-04,103,
2014-05,106,
2014-06,89,
2014-07,156,
2014-08,78,
2014-09,48,
2014-10,72,
2014-11,74,
