"",BBK01.OEHB02S,BBK01.OEHB02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:10,
2002-01,0.893,
2002-04,0.871,
2002-07,0.929,
2002-10,0.952,
2003-01,0.834,
2003-04,0.831,
2003-07,0.845,
2003-10,0.928,
2004-01,0.846,
2004-04,0.864,
2004-07,0.924,
2004-10,0.966,
2005-01,0.983,
2005-04,0.860,
2005-07,0.917,
2005-10,0.876,
2006-01,0.895,
2006-04,0.916,
2006-07,0.904,
2006-10,0.871,
2007-01,0.985,
2007-04,0.945,
2007-07,0.815,
2007-10,0.838,
2008-01,0.858,
2008-04,0.807,
2008-07,0.750,
2008-10,0.744,
2009-01,0.753,
2009-04,0.770,
2009-07,0.801,
2009-10,0.671,
2010-01,0.705,
2010-04,0.723,
2010-07,0.799,
2010-10,0.694,
2011-01,0.734,
2011-04,0.731,
2011-07,0.726,
2011-10,0.721,
2012-01,0.720,
2012-04,0.699,
2012-07,0.638,
2012-10,0.594,
2013-01,0.605,
2013-04,0.591,
2013-07,0.566,
2013-10,0.569,
2014-01,0.542,
2014-04,0.568,
2014-07,0.570,
