"",BBK01.OEHL05G,BBK01.OEHL05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:54,
2002-01,0.159,
2002-04,0.153,
2002-07,0.154,
2002-10,0.180,
2003-01,0.181,
2003-04,0.184,
2003-07,0.172,
2003-10,0.178,
2004-01,0.173,
2004-04,0.169,
2004-07,0.165,
2004-10,0.164,
2005-01,0.015,
2005-04,0.013,
2005-07,0.011,
2005-10,0.013,
2006-01,0.014,
2006-04,0.018,
2006-07,0.017,
2006-10,0.020,
2007-01,0.019,
2007-04,0.018,
2007-07,0.017,
2007-10,0.019,
2008-01,0.021,
2008-04,0.019,
2008-07,0.022,
2008-10,0.022,
2009-01,0.028,
2009-04,0.033,
2009-07,0.035,
2009-10,0.041,
2010-01,0.044,
2010-04,0.048,
2010-07,0.047,
2010-10,0.047,
2011-01,0.048,
2011-04,0.055,
2011-07,0.045,
2011-10,0.047,
2012-01,0.051,
2012-04,0.045,
2012-07,0.044,
2012-10,0.040,
2013-01,0.040,
2013-04,0.045,
2013-07,0.051,
2013-10,0.050,
2014-01,0.044,
2014-04,0.043,
2014-07,0.048,
