"",BBK01.OEAH23H,BBK01.OEAH23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:51,
2002-01,4.739,
2002-04,4.820,
2002-07,4.828,
2002-10,4.749,
2003-01,4.536,
2003-04,4.222,
2003-07,4.050,
2003-10,3.913,
2004-01,3.697,
2004-04,3.359,
2004-07,3.216,
2004-10,3.163,
2005-01,3.102,
2005-04,3.147,
2005-07,3.139,
2005-10,3.469,
2006-01,4.266,
2006-04,5.021,
2006-07,5.856,
2006-10,7.251,
2007-01,8.973,
2007-04,10.270,
2007-07,11.621,
2007-10,13.365,
2008-01,14.668,
2008-04,15.853,
2008-07,17.287,
2008-10,18.180,
2009-01,15.996,
2009-04,12.778,
2009-07,9.772,
2009-10,7.847,
2010-01,6.553,
2010-04,5.702,
2010-07,5.248,
2010-10,5.293,
2011-01,5.583,
2011-04,6.008,
2011-07,6.173,
2011-10,6.596,
2012-01,6.278,
2012-04,5.789,
2012-07,5.082,
2012-10,4.579,
2013-01,3.881,
2013-04,3.246,
2013-07,2.927,
2013-10,2.878,
2014-01,2.753,
2014-04,2.738,
2014-07,2.714,
