"",BBDE1.M.DE.Y.AEB5.A2R200050.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2R200050.F.C.I10.A_FLAGS
"","Orders received from abroad / At constant prices / Germany / 20+21 Manufacture of chemicals, chemical products; basic pharmaceutical products and pharmaceutical preparations / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:18,
1991-01,56.5,
1991-02,56.8,
1991-03,54.0,
1991-04,56.1,
1991-05,56.1,
1991-06,53.4,
1991-07,58.8,
1991-08,58.3,
1991-09,55.9,
1991-10,59.3,
1991-11,59.4,
1991-12,58.0,
1992-01,56.9,
1992-02,58.1,
1992-03,57.0,
1992-04,55.4,
1992-05,57.0,
1992-06,56.7,
1992-07,53.9,
1992-08,55.5,
1992-09,53.2,
1992-10,52.4,
1992-11,54.4,
1992-12,52.0,
1993-01,51.9,
1993-02,56.8,
1993-03,53.1,
1993-04,54.0,
1993-05,55.0,
1993-06,53.3,
1993-07,54.1,
1993-08,57.1,
1993-09,53.9,
1993-10,55.7,
1993-11,57.5,
1993-12,57.0,
1994-01,58.4,
1994-02,60.2,
1994-03,60.9,
1994-04,58.9,
1994-05,58.7,
1994-06,59.0,
1994-07,59.8,
1994-08,60.0,
1994-09,64.4,
1994-10,63.0,
1994-11,62.0,
1994-12,66.8,
1995-01,66.2,
1995-02,64.3,
1995-03,64.4,
1995-04,65.4,
1995-05,64.0,
1995-06,66.9,
1995-07,65.3,
1995-08,64.2,
1995-09,64.7,
1995-10,63.0,
1995-11,61.6,
1995-12,64.8,
1996-01,64.3,
1996-02,62.8,
1996-03,65.2,
1996-04,66.3,
1996-05,67.2,
1996-06,64.3,
1996-07,66.1,
1996-08,66.2,
1996-09,67.2,
1996-10,67.4,
1996-11,68.5,
1996-12,67.9,
1997-01,70.2,
1997-02,70.7,
1997-03,73.6,
1997-04,74.2,
1997-05,74.1,
1997-06,72.2,
1997-07,74.0,
1997-08,74.4,
1997-09,76.3,
1997-10,76.5,
1997-11,71.9,
1997-12,79.2,
1998-01,75.6,
1998-02,73.0,
1998-03,74.1,
1998-04,72.2,
1998-05,71.9,
1998-06,73.2,
1998-07,70.6,
1998-08,70.8,
1998-09,68.9,
1998-10,66.2,
1998-11,65.1,
1998-12,69.7,
1999-01,70.6,
1999-02,69.7,
1999-03,69.6,
1999-04,75.8,
1999-05,74.9,
1999-06,71.2,
1999-07,76.5,
1999-08,76.2,
1999-09,74.2,
1999-10,77.3,
1999-11,80.8,
1999-12,78.0,
2000-01,77.1,
2000-02,79.5,
2000-03,82.5,
2000-04,79.7,
2000-05,80.2,
2000-06,83.3,
2000-07,85.0,
2000-08,84.6,
2000-09,88.5,
2000-10,87.6,
2000-11,86.9,
2000-12,87.9,
2001-01,84.2,
2001-02,81.9,
2001-03,81.5,
2001-04,82.7,
2001-05,80.4,
2001-06,84.8,
2001-07,82.5,
2001-08,85.4,
2001-09,79.6,
2001-10,81.9,
2001-11,79.1,
2001-12,77.7,
2002-01,83.6,
2002-02,83.9,
2002-03,87.3,
2002-04,88.7,
2002-05,87.4,
2002-06,85.3,
2002-07,86.2,
2002-08,84.4,
2002-09,87.7,
2002-10,79.4,
2002-11,88.4,
2002-12,84.8,
2003-01,86.1,
2003-02,87.8,
2003-03,86.6,
2003-04,84.5,
2003-05,83.1,
2003-06,83.9,
2003-07,86.2,
2003-08,87.1,
2003-09,84.7,
2003-10,90.1,
2003-11,84.9,
2003-12,92.1,
2004-01,90.5,
2004-02,89.1,
2004-03,88.0,
2004-04,92.6,
2004-05,91.1,
2004-06,90.5,
2004-07,93.5,
2004-08,93.9,
2004-09,94.6,
2004-10,94.5,
2004-11,94.9,
2004-12,99.9,
2005-01,98.3,
2005-02,96.4,
2005-03,96.9,
2005-04,94.4,
2005-05,95.5,
2005-06,94.9,
2005-07,98.0,
2005-08,99.2,
2005-09,100.2,
2005-10,99.6,
2005-11,97.9,
2005-12,103.4,
2006-01,99.4,
2006-02,98.6,
2006-03,98.2,
2006-04,99.3,
2006-05,101.0,
2006-06,101.6,
2006-07,102.2,
2006-08,102.3,
2006-09,104.2,
2006-10,105.1,
2006-11,107.1,
2006-12,102.0,
2007-01,103.7,
2007-02,106.9,
2007-03,104.6,
2007-04,106.4,
2007-05,107.1,
2007-06,109.8,
2007-07,105.9,
2007-08,110.7,
2007-09,110.2,
2007-10,109.9,
2007-11,115.1,
2007-12,109.7,
2008-01,108.1,
2008-02,107.3,
2008-03,107.0,
2008-04,106.4,
2008-05,106.1,
2008-06,104.8,
2008-07,104.9,
2008-08,104.6,
2008-09,103.5,
2008-10,101.2,
2008-11,90.2,
2008-12,83.4,
2009-01,82.6,
2009-02,81.6,
2009-03,80.2,
2009-04,83.7,
2009-05,85.9,
2009-06,88.3,
2009-07,87.9,
2009-08,90.9,
2009-09,91.9,
2009-10,92.9,
2009-11,94.0,
2009-12,90.7,
2010-01,94.7,
2010-02,95.1,
2010-03,99.4,
2010-04,97.8,
2010-05,98.9,
2010-06,101.3,
2010-07,100.2,
2010-08,101.1,
2010-09,104.1,
2010-10,99.6,
2010-11,101.7,
2010-12,103.4,
2011-01,103.2,
2011-02,105.0,
2011-03,106.2,
2011-04,104.2,
2011-05,101.5,
2011-06,101.6,
2011-07,103.0,
2011-08,101.1,
2011-09,99.6,
2011-10,96.6,
2011-11,96.6,
2011-12,96.1,
2012-01,99.8,
2012-02,99.2,
2012-03,103.6,
2012-04,99.3,
2012-05,102.9,
2012-06,102.5,
2012-07,103.4,
2012-08,103.6,
2012-09,100.7,
2012-10,102.0,
2012-11,101.4,
2012-12,102.5,
2013-01,97.3,
2013-02,97.6,
2013-03,98.5,
2013-04,101.8,
2013-05,100.8,
2013-06,98.4,
2013-07,101.2,
2013-08,102.9,
2013-09,106.7,
2013-10,105.7,
2013-11,106.5,
2013-12,103.7,
2014-01,105.6,
2014-02,107.5,
2014-03,99.3,
2014-04,102.2,
2014-05,100.8,
2014-06,105.0,
2014-07,105.4,
2014-08,105.4,
2014-09,106.5,
2014-10,106.1,
2014-11,111.8,
2014-12,103.6,Provisional value
