"",BBK01.OECJ01K,BBK01.OECJ01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:11,
2002-01,2.799,
2002-04,2.870,
2002-07,3.309,
2002-10,3.502,
2003-01,3.015,
2003-04,3.238,
2003-07,3.240,
2003-10,3.332,
2004-01,3.232,
2004-04,3.591,
2004-07,3.877,
2004-10,8.576,
2005-01,7.001,
2005-04,7.081,
2005-07,6.988,
2005-10,7.520,
2006-01,7.768,
2006-04,7.723,
2006-07,8.124,
2006-10,9.069,
2007-01,9.679,
2007-04,9.612,
2007-07,9.512,
2007-10,10.276,
2008-01,9.853,
2008-04,9.466,
2008-07,9.953,
2008-10,10.172,
2009-01,9.929,
2009-04,9.353,
2009-07,8.871,
2009-10,9.716,
2010-01,9.463,
2010-04,9.946,
2010-07,10.278,
2010-10,11.205,
2011-01,10.004,
2011-04,9.735,
2011-07,9.696,
2011-10,10.751,
2012-01,10.608,
2012-04,10.675,
2012-07,10.929,
2012-10,11.883,
2013-01,10.952,
2013-04,10.412,
2013-07,10.531,
2013-10,11.203,
2014-01,11.417,
2014-04,10.931,
2014-07,11.748,
