"",BBFB1.Q.N.DE.R5.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.R5.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:47,
1991-01,-2.403,
1991-04,-134.070,
1991-07,-97.920,
1991-10,70.709,
1992-01,-110.560,
1992-04,-79.049,
1992-07,-430.768,
1992-10,205.165,
1993-01,-229.299,
1993-04,147.107,
1993-07,-89.627,
1993-10,713.881,
1994-01,-478.479,
1994-04,-2.132,
1994-07,-8.251,
1994-10,-48.146,
1995-01,-2275.484,
1995-04,-435.178,
1995-07,-565.806,
1995-10,-362.722,
1996-01,-119.904,
1996-04,-928.228,
1996-07,900.366,
1996-10,834.547,
1997-01,-45.471,
1997-04,448.636,
1997-07,360.316,
1997-10,945.453,
1998-01,-491.568,
1998-04,564.448,
1998-07,121.783,
1998-10,840.482,
1999-01,-9.861,
1999-04,-100.700,
1999-07,348.139,
1999-10,2474.726,
2000-01,355.468,
2000-04,180.261,
2000-07,-137.309,
2000-10,338.397,
2001-01,-564.553,
2001-04,494.730,
2001-07,703.757,
2001-10,-360.090,
2002-01,120.535,
2002-04,-144.248,
2002-07,-854.968,
2002-10,1452.048,
2003-01,672.619,
2003-04,2192.214,
2003-07,-94.626,
2003-10,232.312,
2004-01,-9.225,
2004-04,-408.236,
2004-07,-726.924,
2004-10,1712.179,
2005-01,1178.153,
2005-04,881.092,
2005-07,1417.750,
2005-10,1741.471,
2006-01,543.231,
2006-04,666.924,
2006-07,1241.309,
2006-10,606.519,
2007-01,155.701,
2007-04,1317.310,
2007-07,1182.755,
2007-10,708.458,
2008-01,1784.258,
2008-04,1697.335,
2008-07,1823.080,
2008-10,2656.061,
2009-01,5584.685,
2009-04,2552.312,
2009-07,2456.174,
2009-10,994.990,
2010-01,1593.572,
2010-04,823.698,
2010-07,1133.200,
2010-10,1323.209,
2011-01,1195.219,
2011-04,1580.168,
2011-07,684.816,
2011-10,1470.017,
2012-01,2303.554,
2012-04,498.198,
2012-07,738.057,
2012-10,656.119,
2013-01,1115.648,
2013-04,1822.492,
2013-07,1436.823,
2013-10,5354.754,
2014-01,1343.379,Provisional value
2014-04,1369.139,Provisional value
2014-07,-599.224,Provisional value
2014-10,-6036.467,Provisional value
