"",BBDE1.M.DE.Y.AEA1.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2P310000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / Intermediate goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:16:59,
1991-01,64.4,
1991-02,63.0,
1991-03,62.3,
1991-04,62.5,
1991-05,60.7,
1991-06,60.9,
1991-07,60.4,
1991-08,60.1,
1991-09,60.0,
1991-10,61.5,
1991-11,61.5,
1991-12,62.3,
1992-01,62.6,
1992-02,61.5,
1992-03,62.5,
1992-04,60.2,
1992-05,60.1,
1992-06,58.9,
1992-07,57.5,
1992-08,57.5,
1992-09,56.5,
1992-10,54.7,
1992-11,55.3,
1992-12,53.8,
1993-01,55.3,
1993-02,54.7,
1993-03,53.0,
1993-04,53.5,
1993-05,52.5,
1993-06,53.3,
1993-07,53.9,
1993-08,52.9,
1993-09,53.6,
1993-10,53.5,
1993-11,53.9,
1993-12,56.1,
1994-01,56.2,
1994-02,57.5,
1994-03,58.0,
1994-04,58.0,
1994-05,58.6,
1994-06,59.3,
1994-07,58.7,
1994-08,59.8,
1994-09,63.7,
1994-10,63.1,
1994-11,64.0,
1994-12,69.1,
1995-01,63.5,
1995-02,65.2,
1995-03,64.2,
1995-04,64.0,
1995-05,62.5,
1995-06,62.7,
1995-07,61.8,
1995-08,60.6,
1995-09,62.1,
1995-10,58.6,
1995-11,57.5,
1995-12,59.9,
1996-01,59.8,
1996-02,58.2,
1996-03,59.5,
1996-04,58.7,
1996-05,59.3,
1996-06,59.8,
1996-07,59.8,
1996-08,60.4,
1996-09,61.3,
1996-10,60.9,
1996-11,61.1,
1996-12,61.1,
1997-01,61.8,
1997-02,63.8,
1997-03,64.5,
1997-04,64.6,
1997-05,64.7,
1997-06,66.8,
1997-07,66.9,
1997-08,67.2,
1997-09,68.0,
1997-10,68.5,
1997-11,68.6,
1997-12,68.6,
1998-01,68.6,
1998-02,67.7,
1998-03,67.8,
1998-04,67.7,
1998-05,66.9,
1998-06,66.9,
1998-07,65.3,
1998-08,65.2,
1998-09,64.4,
1998-10,62.5,
1998-11,62.5,
1998-12,62.3,
1999-01,62.8,
1999-02,61.7,
1999-03,63.4,
1999-04,62.7,
1999-05,64.4,
1999-06,64.7,
1999-07,67.5,
1999-08,69.0,
1999-09,68.9,
1999-10,70.2,
1999-11,72.0,
1999-12,74.1,
2000-01,70.0,
2000-02,73.8,
2000-03,76.4,
2000-04,76.3,
2000-05,78.4,
2000-06,78.7,
2000-07,79.9,
2000-08,82.7,
2000-09,81.5,
2000-10,80.3,
2000-11,79.2,
2000-12,80.2,
2001-01,78.0,
2001-02,77.3,
2001-03,76.7,
2001-04,73.8,
2001-05,77.2,
2001-06,76.2,
2001-07,73.8,
2001-08,74.3,
2001-09,71.6,
2001-10,70.8,
2001-11,69.3,
2001-12,73.3,
2002-01,71.8,
2002-02,73.5,
2002-03,73.0,
2002-04,75.0,
2002-05,74.8,
2002-06,75.6,
2002-07,74.5,
2002-08,74.3,
2002-09,76.2,
2002-10,74.8,
2002-11,76.3,
2002-12,74.9,
2003-01,75.9,
2003-02,75.9,
2003-03,75.6,
2003-04,75.0,
2003-05,72.7,
2003-06,74.4,
2003-07,75.1,
2003-08,74.4,
2003-09,76.0,
2003-10,76.9,
2003-11,78.0,
2003-12,79.8,
2004-01,79.1,
2004-02,80.5,
2004-03,81.1,
2004-04,82.4,
2004-05,82.8,
2004-06,81.5,
2004-07,83.3,
2004-08,83.6,
2004-09,83.5,
2004-10,82.9,
2004-11,83.1,
2004-12,83.9,
2005-01,85.0,
2005-02,83.6,
2005-03,83.5,
2005-04,83.1,
2005-05,83.6,
2005-06,85.1,
2005-07,88.6,
2005-08,87.1,
2005-09,88.6,
2005-10,90.5,
2005-11,91.3,
2005-12,93.6,
2006-01,92.0,
2006-02,94.3,
2006-03,93.3,
2006-04,97.2,
2006-05,98.3,
2006-06,99.8,
2006-07,99.9,
2006-08,101.8,
2006-09,101.8,
2006-10,104.3,
2006-11,105.3,
2006-12,104.5,
2007-01,105.2,
2007-02,105.5,
2007-03,108.6,
2007-04,105.8,
2007-05,108.7,
2007-06,110.7,
2007-07,107.2,
2007-08,108.4,
2007-09,109.2,
2007-10,109.8,
2007-11,116.6,
2007-12,114.4,
2008-01,111.5,
2008-02,111.4,
2008-03,112.1,
2008-04,111.6,
2008-05,112.7,
2008-06,110.1,
2008-07,110.2,
2008-08,110.9,
2008-09,105.8,
2008-10,99.3,
2008-11,88.3,
2008-12,81.2,
2009-01,72.5,
2009-02,68.5,
2009-03,69.3,
2009-04,71.5,
2009-05,73.1,
2009-06,77.6,
2009-07,78.8,
2009-08,82.1,
2009-09,84.7,
2009-10,84.9,
2009-11,87.0,
2009-12,85.6,
2010-01,89.1,
2010-02,91.3,
2010-03,95.3,
2010-04,100.4,
2010-05,98.7,
2010-06,101.0,
2010-07,102.3,
2010-08,101.5,
2010-09,102.3,
2010-10,103.3,
2010-11,104.6,
2010-12,106.5,
2011-01,112.2,
2011-02,110.8,
2011-03,112.5,
2011-04,110.7,
2011-05,111.3,
2011-06,108.6,
2011-07,111.5,
2011-08,110.8,
2011-09,106.5,
2011-10,105.6,
2011-11,103.1,
2011-12,105.9,
2012-01,106.7,
2012-02,106.4,
2012-03,104.9,
2012-04,105.7,
2012-05,106.1,
2012-06,103.3,
2012-07,103.4,
2012-08,104.3,
2012-09,101.1,
2012-10,103.4,
2012-11,102.1,
2012-12,102.7,
2013-01,101.9,
2013-02,101.9,
2013-03,106.1,
2013-04,102.1,
2013-05,101.9,
2013-06,101.8,
2013-07,102.1,
2013-08,102.2,
