"",BBK01.OEAD28Q,BBK01.OEAD28Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:23,
2002-01,0.087,
2002-04,0.084,
2002-07,0.079,
2002-10,0.081,
2003-01,0.077,
2003-04,0.079,
2003-07,0.076,
2003-10,0.074,
2004-01,0.085,
2004-04,0.075,
2004-07,0.062,
2004-10,0.059,
2005-01,0.059,
2005-04,0.071,
2005-07,0.079,
2005-10,0.075,
2006-01,0.070,
2006-04,0.072,
2006-07,0.066,
2006-10,0.067,
2007-01,0.071,
2007-04,0.076,
2007-07,0.078,
2007-10,0.080,
2008-01,0.058,
2008-04,0.057,
2008-07,0.054,
2008-10,0.057,
2009-01,0.058,
2009-04,0.050,
2009-07,0.048,
2009-10,0.047,
2010-01,0.068,
2010-04,0.067,
2010-07,0.067,
2010-10,0.058,
2011-01,0.059,
2011-04,0.043,
2011-07,0.029,
2011-10,0.030,
2012-01,0.032,
2012-04,0.031,
2012-07,0.027,
2012-10,0.042,
2013-01,0.027,
2013-04,0.024,
2013-07,0.026,
2013-10,0.036,
2014-01,0.043,
2014-04,0.040,
2014-07,0.040,
