"",BBK01.SUD213,BBK01.SUD213_FLAGS
"",New business (volumes) of German banks / Loans for consumption to households with a floating rate or an initial rate fixation up to 1 year,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:26:54,
2003-01,3776,
2003-02,2160,
2003-03,2441,
2003-04,2303,
2003-05,1520,
2003-06,2443,
2003-07,1913,
2003-08,1388,
2003-09,1785,
2003-10,2631,
2003-11,1532,
2003-12,1541,
2004-01,1427,
2004-02,1308,
2004-03,1553,
2004-04,1664,
2004-05,1147,
2004-06,1402,
2004-07,1492,
2004-08,1090,
2004-09,1365,
2004-10,1210,
2004-11,1251,
2004-12,1550,
2005-01,1347,
2005-02,1531,
2005-03,1648,
2005-04,1405,
2005-05,1324,
2005-06,1515,
2005-07,1180,
2005-08,1085,
2005-09,1203,
2005-10,1295,
2005-11,1102,
2005-12,1443,
2006-01,1652,
2006-02,1090,
2006-03,1368,
2006-04,1449,
2006-05,933,
2006-06,1283,
2006-07,1271,
2006-08,1007,
2006-09,1046,
2006-10,1662,
2006-11,940,
2006-12,1288,
2007-01,1472,
2007-02,1072,
2007-03,1589,
2007-04,1121,
2007-05,916,
2007-06,1179,
2007-07,1352,
2007-08,1003,
2007-09,832,
2007-10,1359,
2007-11,1229,
2007-12,1472,
2008-01,1683,
2008-02,864,
2008-03,1005,
2008-04,1087,
2008-05,843,
2008-06,974,
2008-07,1090,
2008-08,1218,
2008-09,1064,
2008-10,1181,
2008-11,922,
2008-12,1217,
2009-01,1202,
2009-02,878,
2009-03,1171,
2009-04,1510,
2009-05,904,
2009-06,1484,
2009-07,1242,
2009-08,1187,
2009-09,1322,
2009-10,1651,
2009-11,2065,
2009-12,2385,
2010-01,2233,
2010-02,2127,
2010-03,2685,
2010-04,2297,
2010-05,2041,
2010-06,1032,
2010-07,775,
2010-08,734,
2010-09,731,
2010-10,908,
2010-11,729,
2010-12,771,
2011-01,1042,
2011-02,958,
2011-03,945,
2011-04,1029,
2011-05,1086,
2011-06,879,
2011-07,1164,
2011-08,1039,
2011-09,826,
2011-10,1042,
2011-11,1000,
2011-12,970,
2012-01,1009,
2012-02,943,
2012-03,883,
2012-04,874,
2012-05,869,
2012-06,672,
2012-07,654,
2012-08,683,
2012-09,525,
2012-10,707,
2012-11,744,
2012-12,556,
2013-01,508,
2013-02,620,
2013-03,488,
2013-04,554,
2013-05,697,
2013-06,618,
2013-07,480,
2013-08,554,
2013-09,379,
2013-10,504,
2013-11,592,
2013-12,588,
2014-01,538,
2014-02,591,
2014-03,832,
2014-04,395,
2014-05,497,
2014-06,406,
2014-07,414,
2014-08,486,
2014-09,543,
2014-10,392,
2014-11,472,
2014-12,510,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services. Excluding overdrafts. p = Provisional,
