"",BBK01.OEAC49I,BBK01.OEAC49I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:49,
2002-01,2.406,
2002-04,2.320,
2002-07,2.199,
2002-10,2.143,
2003-01,2.115,
2003-04,2.048,
2003-07,1.946,
2003-10,1.868,
2004-01,1.801,
2004-04,1.718,
2004-07,1.591,
2004-10,1.561,
2005-01,1.524,
2005-04,1.517,
2005-07,1.469,
2005-10,1.302,
2006-01,1.283,
2006-04,1.337,
2006-07,1.463,
2006-10,1.369,
2007-01,1.371,
2007-04,1.315,
2007-07,1.272,
2007-10,1.200,
2008-01,1.175,
2008-04,1.179,
2008-07,1.170,
2008-10,1.103,
2009-01,0.888,
2009-04,0.875,
2009-07,0.794,
2009-10,0.774,
2010-01,0.762,
2010-04,0.738,
2010-07,0.687,
2010-10,0.701,
2011-01,0.676,
2011-04,0.650,
2011-07,0.667,
2011-10,0.675,
2012-01,0.650,
2012-04,0.636,
2012-07,0.630,
2012-10,0.694,
2013-01,0.700,
2013-04,0.686,
2013-07,0.585,
2013-10,0.613,
2014-01,0.571,
2014-04,0.575,
2014-07,0.541,
