"",BBK01.OELB05Q,BBK01.OELB05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:56,
2002-01,7.846,
2002-04,7.942,
2002-07,7.993,
2002-10,7.986,
2003-01,7.938,
2003-04,7.990,
2003-07,7.956,
2003-10,7.899,
2004-01,7.868,
2004-04,7.953,
2004-07,8.018,
2004-10,8.013,
2005-01,8.053,
2005-04,8.114,
2005-07,8.393,
2005-10,8.467,
2006-01,8.620,
2006-04,9.177,
2006-07,9.181,
2006-10,9.139,
2007-01,9.124,
2007-04,9.223,
2007-07,9.509,
2007-10,9.416,
2008-01,9.544,
2008-04,9.699,
2008-07,9.733,
2008-10,9.944,
2009-01,10.022,
2009-04,10.228,
2009-07,10.492,
2009-10,10.672,
2010-01,10.881,
2010-04,11.135,
2010-07,11.300,
2010-10,11.467,
2011-01,11.612,
2011-04,11.865,
2011-07,12.050,
2011-10,12.198,
2012-01,12.380,
2012-04,13.193,
2012-07,13.318,
2012-10,13.473,
2013-01,13.712,
2013-04,13.953,
2013-07,14.121,
2013-10,14.321,
2014-01,14.421,
2014-04,14.553,
2014-07,14.809,
