"",BBK01.OEBO02R,BBK01.OEBO02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:13,
2002-01,0.206,
2002-04,0.190,
2002-07,0.203,
2002-10,0.164,
2003-01,0.203,
2003-04,0.163,
2003-07,0.171,
2003-10,0.149,
2004-01,0.176,
2004-04,0.136,
2004-07,0.158,
2004-10,0.247,
2005-01,0.252,
2005-04,0.206,
2005-07,0.187,
2005-10,0.206,
2006-01,0.262,
2006-04,0.226,
2006-07,0.225,
2006-10,0.255,
2007-01,0.440,
2007-04,0.268,
2007-07,0.307,
2007-10,0.315,
2008-01,0.371,
2008-04,0.317,
2008-07,0.308,
2008-10,0.478,
2009-01,0.339,
2009-04,0.288,
2009-07,0.310,
2009-10,0.290,
2010-01,0.286,
2010-04,0.191,
2010-07,0.183,
2010-10,0.270,
2011-01,0.331,
2011-04,0.225,
2011-07,0.206,
2011-10,0.207,
2012-01,0.306,
2012-04,0.192,
2012-07,0.197,
2012-10,0.197,
2013-01,0.243,
2013-04,0.171,
2013-07,0.154,
2013-10,0.154,
2014-01,0.146,
2014-04,0.122,
2014-07,0.213,
