"",BBFB1.Q.N.DE.1A.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:00,
1991-01,-462.381,
1991-04,-200.738,
1991-07,-408.967,
1991-10,-241.785,
1992-01,-606.932,
1992-04,-275.366,
1992-07,-405.989,
1992-10,-255.045,
1993-01,-446.724,
1993-04,-289.494,
1993-07,-387.688,
1993-10,-552.371,
1994-01,-573.532,
1994-04,-226.793,
1994-07,-442.142,
1994-10,-432.077,
1995-01,-469.355,
1995-04,-238.957,
1995-07,-245.172,
1995-10,-736.963,
1996-01,-658.039,
1996-04,-206.563,
1996-07,-479.269,
1996-10,-297.395,
1997-01,-488.660,
1997-04,-232.751,
1997-07,-442.826,
1997-10,-405.806,
1998-01,-579.052,
1998-04,-196.292,
1998-07,-428.989,
1998-10,-288.985,
1999-01,-545.420,
1999-04,-234.960,
1999-07,-463.442,
1999-10,-408.050,
2000-01,-532.907,
2000-04,-290.708,
2000-07,-470.573,
2000-10,-478.718,
2001-01,-530.328,
2001-04,-437.594,
2001-07,-580.783,
2001-10,-203.234,
2002-01,-727.718,
2002-04,-279.740,
2002-07,-663.783,
2002-10,-255.999,
2003-01,-694.963,
2003-04,-610.128,
2003-07,-272.966,
2003-10,-216.190,
2004-01,-672.624,
2004-04,-332.875,
2004-07,-317.691,
2004-10,-361.926,
2005-01,-573.201,
2005-04,-487.822,
2005-07,-348.269,
2005-10,-282.566,
2006-01,-548.937,
2006-04,-390.289,
2006-07,-247.531,
2006-10,-513.695,
2007-01,-695.482,
2007-04,-473.048,
2007-07,-354.549,
2007-10,-494.988,
2008-01,-711.557,
2008-04,-581.110,
2008-07,-458.070,
2008-10,-517.739,
2009-01,-910.242,
2009-04,-543.398,
2009-07,-565.656,
2009-10,-617.585,
2010-01,-1166.041,
2010-04,-693.699,
2010-07,-856.516,
2010-10,-903.714,
2011-01,-1106.791,
2011-04,-687.208,
2011-07,-753.036,
2011-10,-865.480,
2012-01,-1169.776,
2012-04,-1039.776,
2012-07,-547.462,
2012-10,-811.827,
2013-01,-1406.882,
2013-04,-804.282,
2013-07,-738.123,
2013-10,-698.923,
2014-01,-1121.067,Provisional value
2014-04,-696.896,Provisional value
2014-07,-767.287,Provisional value
