"",BBK01.OEHL01P,BBK01.OEHL01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:30,
2002-01,6.814,
2002-04,6.771,
2002-07,6.750,
2002-10,6.872,
2003-01,6.959,
2003-04,6.973,
2003-07,6.949,
2003-10,7.047,
2004-01,7.133,
2004-04,7.119,
2004-07,7.041,
2004-10,7.134,
2005-01,7.165,
2005-04,7.145,
2005-07,7.112,
2005-10,7.216,
2006-01,7.257,
2006-04,7.206,
2006-07,7.144,
2006-10,7.198,
2007-01,7.175,
2007-04,7.150,
2007-07,7.135,
2007-10,7.181,
2008-01,7.148,
2008-04,7.173,
2008-07,7.100,
2008-10,7.276,
2009-01,7.326,
2009-04,7.396,
2009-07,7.382,
2009-10,7.580,
2010-01,7.712,
2010-04,7.774,
2010-07,7.788,
2010-10,7.914,
2011-01,7.942,
2011-04,7.966,
2011-07,7.953,
2011-10,8.151,
2012-01,8.056,
2012-04,8.048,
2012-07,8.069,
2012-10,8.242,
2013-01,8.199,
2013-04,8.215,
2013-07,8.166,
2013-10,8.303,
2014-01,8.304,
2014-04,8.321,
2014-07,8.278,
