"",BBK01.OEYB24Q,BBK01.OEYB24Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:14,
2002-01,10.513,
2002-04,10.281,
2002-07,7.970,
2002-10,7.655,
2003-01,7.417,
2003-04,6.906,
2003-07,6.825,
2003-10,6.698,
2004-01,6.594,
2004-04,6.660,
2004-07,7.067,
2004-10,8.566,
2005-01,8.448,
2005-04,9.824,
2005-07,9.758,
2005-10,9.674,
2006-01,9.107,
2006-04,8.802,
2006-07,8.712,
2006-10,9.808,
2007-01,10.293,
2007-04,10.441,
2007-07,10.387,
2007-10,10.667,
2008-01,11.416,
2008-04,11.334,
2008-07,10.926,
2008-10,10.967,
2009-01,10.956,
2009-04,10.860,
2009-07,10.571,
2009-10,10.347,
2010-01,10.251,
2010-04,8.921,
2010-07,8.874,
2010-10,8.980,
2011-01,8.421,
2011-04,8.043,
2011-07,7.914,
2011-10,7.877,
2012-01,7.674,
2012-04,7.958,
2012-07,7.805,
2012-10,7.746,
2013-01,7.522,
2013-04,6.841,
2013-07,7.258,
2013-10,7.239,
2014-01,7.123,
2014-04,6.971,
2014-07,6.895,
