"",BBK01.OXA8Y4,BBK01.OXA8Y4_FLAGS
"",Transferable deposits of banks (MFIs) domiciled outside of the euro-area Overnight deposits - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:13,
2010-06,77.832,
2010-07,68.597,
2010-08,70.337,
2010-09,73.624,
2010-10,68.049,
2010-11,70.163,
2010-12,70.645,
2011-01,56.391,
2011-02,62.445,
2011-03,56.405,
2011-04,61.842,
2011-05,61.751,
2011-06,61.799,
2011-07,56.545,
2011-08,61.172,
2011-09,85.494,Provisional value
2011-10,76.693,
2011-11,76.279,
2011-12,73.489,
2012-01,81.596,
2012-02,89.556,
2012-03,93.456,
2012-04,103.094,
2012-05,123.814,
2012-06,90.949,
2012-07,131.599,
2012-08,117.596,
2012-09,101.999,
2012-10,113.045,
2012-11,110.953,
2012-12,90.946,
2013-01,101.956,
2013-02,102.021,
2013-03,93.895,
2013-04,98.233,
2013-05,90.765,
2013-06,88.836,
2013-07,88.616,
2013-08,80.369,
2013-09,79.019,
2013-10,74.593,
2013-11,76.355,
2013-12,72.326,
2014-01,80.290,
2014-02,71.129,
2014-03,78.047,
2014-04,77.027,
2014-05,74.572,
2014-06,81.179,
2014-07,83.407,
2014-08,81.742,
2014-09,91.439,
2014-10,85.742,
2014-11,88.364,
2014-12,91.418,Provisional value
