"",BBK01.OECI01U,BBK01.OECI01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:24,
2002-01,2.575,
2002-04,2.554,
2002-07,2.625,
2002-10,2.700,
2003-01,2.559,
2003-04,2.468,
2003-07,2.450,
2003-10,2.629,
2004-01,2.502,
2004-04,2.519,
2004-07,2.572,
2004-10,2.631,
2005-01,3.569,
2005-04,3.510,
2005-07,3.570,
2005-10,3.711,
2006-01,3.609,
2006-04,3.542,
2006-07,3.522,
2006-10,3.582,
2007-01,3.557,
2007-04,3.742,
2007-07,3.782,
2007-10,4.170,
2008-01,4.070,
2008-04,4.130,
2008-07,4.307,
2008-10,4.512,
2009-01,4.329,
2009-04,4.385,
2009-07,4.323,
2009-10,4.243,
2010-01,4.193,
2010-04,4.150,
2010-07,4.191,
2010-10,4.316,
2011-01,4.255,
2011-04,4.309,
2011-07,4.434,
2011-10,4.726,
2012-01,4.772,
2012-04,4.716,
2012-07,4.678,
2012-10,4.766,
2013-01,4.522,
2013-04,4.543,
2013-07,4.589,
2013-10,4.685,
2014-01,4.527,
2014-04,4.593,
2014-07,4.707,
