"",BBK01.OEBJ01I,BBK01.OEBJ01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:03,
2002-01,10.266,
2002-04,9.222,
2002-07,10.377,
2002-10,10.694,
2003-01,10.044,
2003-04,10.241,
2003-07,8.554,
2003-10,7.942,
2004-01,7.955,
2004-04,8.300,
2004-07,8.806,
2004-10,9.016,
2005-01,9.844,
2005-04,9.832,
2005-07,9.670,
2005-10,9.712,
2006-01,9.206,
2006-04,9.035,
2006-07,8.418,
2006-10,10.215,
2007-01,10.438,
2007-04,10.833,
2007-07,11.068,
2007-10,12.416,
2008-01,11.482,
2008-04,12.246,
2008-07,12.024,
2008-10,12.485,
2009-01,12.884,
2009-04,14.139,
2009-07,14.227,
2009-10,14.559,
2010-01,15.240,
2010-04,15.219,
2010-07,16.131,
2010-10,16.968,
2011-01,16.764,
2011-04,17.048,
2011-07,18.220,
2011-10,18.561,
2012-01,18.704,
2012-04,19.789,
2012-07,19.793,
2012-10,20.457,
2013-01,21.489,
2013-04,21.177,
2013-07,21.453,
2013-10,23.030,
2014-01,21.910,
2014-04,22.583,
2014-07,22.847,
