"",BBK01.OEAF15N,BBK01.OEAF15N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:44,
2002-01,9.741,
2002-04,9.562,
2002-07,10.077,
2002-10,10.451,
2003-01,9.804,
2003-04,9.762,
2003-07,9.790,
2003-10,9.453,
2004-01,8.653,
2004-04,8.617,
2004-07,8.831,
2004-10,8.558,
2005-01,8.819,
2005-04,8.800,
2005-07,8.621,
2005-10,9.593,
2006-01,9.108,
2006-04,9.129,
2006-07,9.208,
2006-10,9.052,
2007-01,8.868,
2007-04,8.941,
2007-07,8.928,
2007-10,8.969,
2008-01,8.763,
2008-04,8.712,
2008-07,8.965,
2008-10,8.989,
2009-01,9.254,
2009-04,9.103,
2009-07,8.861,
2009-10,8.334,
2010-01,7.987,
2010-04,8.086,
2010-07,7.892,
2010-10,7.416,
2011-01,7.408,
2011-04,7.584,
2011-07,7.639,
2011-10,7.804,
2012-01,7.812,
2012-04,7.699,
2012-07,7.817,
2012-10,7.479,
2013-01,7.210,
2013-04,7.019,
2013-07,7.149,
2013-10,6.691,
2014-01,6.843,
2014-04,6.356,
2014-07,6.256,
