"",BBK01.OEAD32N,BBK01.OEAD32N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:35,
2002-01,1.107,
2002-04,1.105,
2002-07,1.084,
2002-10,1.059,
2003-01,1.021,
2003-04,1.047,
2003-07,1.003,
2003-10,0.980,
2004-01,0.971,
2004-04,0.935,
2004-07,0.929,
2004-10,0.921,
2005-01,0.941,
2005-04,0.896,
2005-07,0.908,
2005-10,0.894,
2006-01,0.911,
2006-04,1.006,
2006-07,0.897,
2006-10,0.997,
2007-01,1.113,
2007-04,0.977,
2007-07,0.947,
2007-10,0.933,
2008-01,0.960,
2008-04,0.938,
2008-07,0.931,
2008-10,1.031,
2009-01,1.009,
2009-04,1.000,
2009-07,0.973,
2009-10,0.969,
2010-01,1.021,
2010-04,0.978,
2010-07,1.041,
2010-10,1.054,
2011-01,1.038,
2011-04,1.053,
2011-07,1.051,
2011-10,1.070,
2012-01,1.060,
2012-04,0.960,
2012-07,0.947,
2012-10,0.847,
2013-01,0.819,
2013-04,0.812,
2013-07,0.781,
2013-10,0.713,
2014-01,0.702,
2014-04,0.737,
2014-07,0.730,
