"",BBK01.OEAC26T,BBK01.OEAC26T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:26,
2002-01,0.023,
2002-04,0.023,
2002-07,0.022,
2002-10,0.022,
2003-01,0.027,
2003-04,0.030,
2003-07,0.033,
2003-10,0.036,
2004-01,0.035,
2004-04,0.029,
2004-07,0.034,
2004-10,0.034,
2005-01,0.041,
2005-04,0.037,
2005-07,0.034,
2005-10,0.035,
2006-01,0.033,
2006-04,0.032,
2006-07,0.033,
2006-10,0.030,
2007-01,0.029,
2007-04,0.028,
2007-07,0.023,
2007-10,0.021,
2008-01,0.014,
2008-04,0.014,
2008-07,0.012,
2008-10,0.016,
2009-01,0.017,
2009-04,0.024,
2009-07,0.020,
2009-10,0.020,
2010-01,0.076,
2010-04,0.063,
2010-07,0.045,
2010-10,0.046,
2011-01,0.043,
2011-04,0.041,
2011-07,0.012,
2011-10,0.009,
2012-01,0.009,
2012-04,0.008,
2012-07,0.006,
2012-10,0.011,
2013-01,0.008,
2013-04,0.214,
2013-07,0.163,
2013-10,0.121,
2014-01,0.071,
2014-04,0.017,
2014-07,0.107,
