"",BBK01.OEAD19N,BBK01.OEAD19N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:30,
2002-01,0.945,
2002-04,0.947,
2002-07,0.961,
2002-10,0.811,
2003-01,0.810,
2003-04,0.832,
2003-07,0.790,
2003-10,0.683,
2004-01,0.650,
2004-04,0.641,
2004-07,0.651,
2004-10,0.513,
2005-01,0.559,
2005-04,0.569,
2005-07,0.532,
2005-10,0.468,
2006-01,0.455,
2006-04,0.492,
2006-07,0.480,
2006-10,0.430,
2007-01,0.460,
2007-04,0.532,
2007-07,0.514,
2007-10,0.520,
2008-01,0.509,
2008-04,0.519,
2008-07,0.586,
2008-10,0.559,
2009-01,0.517,
2009-04,0.559,
2009-07,0.410,
2009-10,0.358,
2010-01,0.359,
2010-04,0.360,
2010-07,0.343,
2010-10,0.299,
2011-01,0.327,
2011-04,0.397,
2011-07,0.375,
2011-10,0.338,
2012-01,0.330,
2012-04,0.287,
2012-07,0.284,
2012-10,0.281,
2013-01,0.273,
2013-04,0.298,
2013-07,0.285,
2013-10,0.263,
2014-01,0.237,
2014-04,0.271,
2014-07,0.287,
