"",BBK01.OELM03H,BBK01.OELM03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:38,
2002-01,0.633,
2002-04,0.610,
2002-07,0.583,
2002-10,0.565,
2003-01,0.536,
2003-04,0.537,
2003-07,0.514,
2003-10,0.559,
2004-01,0.531,
2004-04,0.572,
2004-07,0.594,
2004-10,0.634,
2005-01,0.600,
2005-04,0.635,
2005-07,0.658,
2005-10,0.698,
2006-01,0.630,
2006-04,0.665,
2006-07,0.711,
2006-10,0.754,
2007-01,0.791,
2007-04,0.807,
2007-07,0.798,
2007-10,0.856,
2008-01,0.809,
2008-04,0.823,
2008-07,0.852,
2008-10,0.879,
2009-01,0.888,
2009-04,0.832,
2009-07,0.801,
2009-10,0.758,
2010-01,0.796,
2010-04,0.800,
2010-07,0.731,
2010-10,0.854,
2011-01,0.781,
2011-04,0.921,
2011-07,0.860,
2011-10,0.884,
2012-01,0.755,
2012-04,0.793,
2012-07,0.801,
2012-10,0.869,
2013-01,0.773,
2013-04,0.770,
2013-07,0.805,
2013-10,0.892,
2014-01,0.778,
2014-04,0.810,
2014-07,0.823,
