"",BBK01.OEAH34I,BBK01.OEAH34I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:32,
2002-01,0.014,
2002-04,0.055,
2002-07,0.058,
2002-10,0.156,
2003-01,0.153,
2003-04,0.112,
2003-07,0.108,
2003-10,0.141,
2004-01,0.128,
2004-04,0.134,
2004-07,0.111,
2004-10,0.027,
2005-01,0.027,
2005-04,0.024,
2005-07,0.022,
2005-10,0.018,
2006-01,0.030,
2006-04,0.033,
2006-07,0.046,
2006-10,0.053,
2007-01,0.069,
2007-04,0.137,
2007-07,0.158,
2007-10,0.153,
2008-01,0.133,
2008-04,0.132,
2008-07,0.168,
2008-10,0.186,
2009-01,0.209,
2009-04,0.210,
2009-07,0.220,
2009-10,0.233,
2010-01,0.178,
2010-04,0.218,
2010-07,0.240,
2010-10,0.272,
2011-01,0.180,
2011-04,0.223,
2011-07,0.245,
2011-10,0.303,
2012-01,0.378,
2012-04,0.369,
2012-07,0.448,
2012-10,0.541,
2013-01,0.564,
2013-04,0.535,
2013-07,0.476,
2013-10,0.446,
2014-01,0.376,
2014-04,0.312,
2014-07,0.275,
