"",BBEX3.M.PEN.USD.CA.AC.A01,BBEX3.M.PEN.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Peru / USD 1 = PEI / PEN ... (middle) *,
unit,PEN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:04,
1991-01,0.5500,
1991-02,0.5500,
1991-03,0.5590,
1991-04,0.7000,
1991-05,0.8175,
1991-06,0.8375,
1991-07,0.8050,
1991-08,0.7750,
1991-09,0.8300,
1991-10,0.9550,
1991-11,1.0250,
1991-12,0.9575,
1992-01,0.9750,
1992-02,0.9625,
1992-03,0.9550,
1992-04,1.0550,
1992-05,1.1325,
1992-06,1.1850,
1992-07,1.2350,
1992-08,1.2875,
1992-09,1.4700,
1992-10,1.5825,
1992-11,1.6050,
1992-12,1.6200,
1993-01,1.7025,
1993-02,1.7850,
1993-03,1.8575,
1993-04,1.9400,
1993-05,1.9675,
1993-06,2.0225,
1993-07,2.0325,
1993-08,2.0850,
1993-09,2.1325,
1993-10,2.1525,
1993-11,2.1725,
1993-12,2.1450,
1994-01,2.1650,
1994-02,2.1625,
1994-03,2.1775,
1994-04,2.1800,
1994-05,2.1800,
1994-06,2.1880,
1994-07,2.1975,
1994-08,2.2450,
1994-09,2.2450,
1994-10,2.2150,
1994-11,2.1640,
1994-12,2.1725,
1995-01,2.1800,
1995-02,2.2350,
1995-03,2.2575,
1995-04,2.2400,
1995-05,2.2425,
1995-06,2.2315,
1995-07,2.2275,
1995-08,2.2375,
1995-09,2.2415,
1995-10,2.2615,
1995-11,2.3150,
1995-12,2.3075,
1996-01,2.3575,
1996-02,2.3575,
1996-03,2.3525,
1996-04,2.3675,
1996-05,2.4100,
1996-06,2.4400,
1996-07,2.4525,
1996-08,2.4600,
1996-09,2.5050,
1996-10,2.5625,
1996-11,2.5825,
1996-12,2.5875,
1997-01,2.6400,
1997-02,2.6450,
1997-03,2.6400,
1997-04,2.6600,
1997-05,2.6650,
1997-06,2.6500,
1997-07,2.6600,
1997-08,2.6500,
1997-09,2.6400,
1997-10,2.7100,
1997-11,2.7200,
1997-12,2.7250,
1998-01,2.7700,
1998-02,2.8100,
1998-03,2.8000,
1998-04,2.8200,
1998-05,2.8600,
1998-06,2.9400,
1998-07,2.9300,
1998-08,3.0100,
1998-09,3.0500,
1998-10,3.0700,
1998-11,3.1250,
1998-12,3.1550,
1999-01,3.3500,
1999-02,3.4300,
1999-03,3.3250,
1999-04,3.3350,
1999-05,3.3250,
1999-06,3.3350,
1999-07,3.3300,
1999-08,3.3800,
1999-09,3.4600,
1999-10,3.4850,
1999-11,3.4900,
1999-12,3.5050,
2000-01,3.4850,
2000-02,3.4450,
2000-03,3.4850,
2000-04,3.4800,
2000-05,3.5000,
2000-06,3.4850,
2000-07,3.4700,
2000-08,3.4750,
2000-09,3.5100,
2000-10,3.5050,
2000-11,3.5300,
2000-12,3.5200,
2001-01,3.5300,
2001-02,3.5200,
2001-03,3.5200,
2001-04,3.5850,
2001-05,3.6300,
2001-06,3.5050,
2001-07,3.4900,
2001-08,3.4850,
2001-09,3.4850,
2001-10,3.4400,
2001-11,3.4350,
2001-12,3.4400,
2002-01,3.4750,
2002-02,3.4700,
2002-03,3.4500,
2002-04,3.4350,
2002-05,3.4600,
2002-06,3.5100,
2002-07,3.5750,
2002-08,3.6050,
2002-09,3.6500,
2002-10,3.6000,
2002-11,3.5100,
2002-12,3.5150,
2003-01,3.4850,
2003-02,3.4800,
2003-03,3.4735,
2003-04,3.4620,
2003-05,3.4950,
2003-06,3.4705,
2003-07,3.4725,
2003-08,3.4800,
2003-09,3.4825,
2003-10,3.4725,
2003-11,3.4800,
2003-12,3.4625,
2004-01,3.4990,
2004-02,3.4725,
2004-03,3.4600,
2004-04,3.4830,
2004-05,3.4875,
2004-06,3.4710,
2004-07,3.4205,
2004-08,3.3565,
2004-09,3.3415,
2004-10,3.3235,
2004-11,3.3050,
2004-12,3.2815,
2005-01,3.2625,
2005-02,3.2570,
2005-03,3.2610,
2005-04,3.2570,
2005-05,3.2535,
2005-06,3.2530,
2005-07,3.2540,
2005-08,3.2845,
2005-09,3.3435,
2005-10,3.3780,
2005-11,3.4100,
2005-12,3.4300,
2006-01,3.3120,
2006-02,3.2915,
2006-03,3.3570,
2006-04,3.3110,
2006-05,3.2970,
2006-06,3.2595,
2006-07,3.2395,
2006-08,3.2405,
2006-09,3.2495,
2006-10,3.2150,
2006-11,3.2220,
2006-12,3.1955,
2007-01,3.1985,
2007-02,3.1895,
2007-03,3.1830,
2007-04,3.1715,
2007-05,3.1745,
2007-06,3.1680,
2007-07,3.1605,
2007-08,3.1625,
2007-09,3.0860,
2007-10,2.9975,
2007-11,2.9990,
2007-12,2.9960,
2008-01,2.9335,
2008-02,2.8865,
2008-03,2.7445,
2008-04,2.8495,
2008-05,2.8430,
2008-06,2.9660,
2008-07,2.8150,
2008-08,2.9520,
2008-09,2.9760,
2008-10,3.0880,
2008-11,3.0950,
2008-12,3.1395,
2009-01,3.1735,
2009-02,3.2500,
2009-03,3.1605,
2009-04,2.9935,
2009-05,2.9945,
