"",BBK01.OEAC14J,BBK01.OEAC14J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:03,
2002-01,3.564,
2002-04,3.532,
2002-07,3.909,
2002-10,3.961,
2003-01,3.860,
2003-04,3.775,
2003-07,3.698,
2003-10,3.674,
2004-01,3.643,
2004-04,3.625,
2004-07,3.560,
2004-10,3.559,
2005-01,3.688,
2005-04,3.651,
2005-07,3.570,
2005-10,3.474,
2006-01,3.401,
2006-04,3.488,
2006-07,3.477,
2006-10,3.341,
2007-01,3.274,
2007-04,3.244,
2007-07,3.192,
2007-10,3.168,
2008-01,3.172,
2008-04,3.082,
2008-07,2.731,
2008-10,2.707,
2009-01,2.673,
2009-04,2.640,
2009-07,2.456,
2009-10,2.435,
2010-01,2.389,
2010-04,2.388,
2010-07,2.355,
2010-10,2.320,
2011-01,2.288,
2011-04,2.318,
2011-07,2.291,
2011-10,2.239,
2012-01,2.216,
2012-04,2.638,
2012-07,2.631,
2012-10,2.637,
2013-01,2.642,
2013-04,2.626,
2013-07,2.606,
2013-10,2.558,
2014-01,2.570,
2014-04,2.539,
2014-07,2.602,
