"",BBK01.CELO05,BBK01.CELO05_FLAGS
"",Other deposits                                                 debtor: Total            creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:10,
1999-01,-1.5,
1999-04,-1.8,
1999-07,-0.7,
1999-10,-3.8,
2000-01,8.9,
2000-04,-7.4,
2000-07,0.7,
2000-10,-3.7,
2001-01,7.5,
2001-04,-1.0,
2001-07,1.1,
2001-10,-0.1,
2002-01,13.5,
2002-04,0.8,
2002-07,-4.2,
2002-10,-14.6,
2003-01,10.0,
2003-04,6.3,
2003-07,4.9,
2003-10,-6.7,
2004-01,8.6,
2004-04,-4.7,
2004-07,1.2,
2004-10,-5.9,
2005-01,13.8,
2005-04,-8.5,
2005-07,6.4,
2005-10,-6.2,
2006-01,8.7,
2006-04,-4.9,
2006-07,11.6,
2006-10,-5.4,
2007-01,23.9,
2007-04,2.4,
2007-07,-0.1,
2007-10,6.7,
2008-01,27.0,
2008-04,-15.5,
2008-07,15.8,
2008-10,20.4,
2009-01,34.9,
2009-04,-0.7,
2009-07,-2.0,
2009-10,18.6,
2010-01,-9.7,
2010-04,27.8,
2010-07,12.4,
2010-10,-5.8,
2011-01,-11.5,
2011-04,43.1,
2011-07,43.6,
2011-10,-53.3,
2012-01,-0.8,
2012-04,36.3,
2012-07,-0.7,
2012-10,-46.6,
2013-01,31.6,
2013-04,27.1,
2013-07,-54.3,
2013-10,-4.2,
2014-01,22.8,
2014-04,4.4,
2014-07,-5.4,
