"",BBK01.CEFI0N,BBK01.CEFI0N_FLAGS
"",Listed shares  debtor: Total                                           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:17,
1999-01,254.6,
1999-04,253.6,
1999-07,230.1,
1999-10,399.7,
2000-01,483.3,
2000-04,464.5,
2000-07,446.8,
2000-10,336.6,
2001-01,309.6,
2001-04,362.6,
2001-07,299.5,
2001-10,345.8,
2002-01,369.4,
2002-04,335.7,
2002-07,202.7,
2002-10,217.6,
2003-01,204.9,
2003-04,257.0,
2003-07,261.5,
2003-10,308.5,
2004-01,302.4,
2004-04,294.3,
2004-07,286.3,
2004-10,292.0,
2005-01,300.9,
2005-04,313.3,
2005-07,351.4,
2005-10,394.9,
2006-01,696.0,
2006-04,631.8,
2006-07,638.2,
2006-10,631.7,
2007-01,715.9,
2007-04,852.9,
2007-07,850.8,
2007-10,820.8,
2008-01,652.7,
2008-04,617.7,
2008-07,523.4,
2008-10,351.8,
2009-01,268.6,
2009-04,348.9,
2009-07,432.0,
2009-10,449.4,
2010-01,479.8,
2010-04,457.7,
2010-07,471.5,
2010-10,539.6,
2011-01,540.9,
2011-04,558.0,
2011-07,426.7,
2011-10,446.4,
2012-01,525.4,
2012-04,478.7,
2012-07,546.4,
2012-10,587.1,
2013-01,612.3,
2013-04,622.8,
2013-07,671.1,
2013-10,765.0,
2014-01,770.3,
2014-04,781.4,
2014-07,767.6,
