"",BBFN1.M.DE.N.1.A.LU.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LU.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1998-10,28.510,
1998-11,26.767,
1998-12,25.528,
1999-01,21.717,
1999-02,20.076,
1999-03,19.711,
1999-04,20.405,
1999-05,19.250,
1999-06,20.105,
1999-07,21.137,
1999-08,20.633,
1999-09,20.115,
1999-10,18.696,
1999-11,18.496,
1999-12,17.892,
2000-01,17.766,
2000-02,18.423,
2000-03,19.854,
2000-04,19.819,
2000-05,17.282,
2000-06,16.167,
2000-07,19.578,
2000-08,26.337,
2000-09,16.228,
2000-10,16.726,
2000-11,15.211,
2000-12,14.211,
2001-01,18.701,
2001-02,19.433,
2001-03,19.723,
2001-04,17.431,
2001-05,16.989,
2001-06,16.727,
2001-07,22.049,
2001-08,19.579,
2001-09,19.310,
2001-10,19.485,
2001-11,20.739,
2001-12,21.427,
2002-01,27.109,
2002-02,23.348,
2002-03,22.260,
2002-04,29.939,
2002-05,31.045,
2002-06,23.958,
2002-07,21.814,
2002-08,22.971,
2002-09,24.535,
2002-10,22.874,
2002-11,20.812,
2002-12,19.684,
2003-01,21.736,
2003-02,20.925,
2003-03,21.245,
2003-04,23.905,
2003-05,25.071,
2003-06,24.565,
2003-07,26.078,
2003-08,23.379,
2003-09,25.948,
2003-10,25.330,
2003-11,23.646,
2003-12,25.257,
2004-01,25.925,
2004-02,26.619,
2004-03,27.885,
2004-04,24.273,
2004-05,20.862,
2004-06,22.313,
2004-07,23.365,
2004-08,23.642,
2004-09,26.107,
2004-10,23.763,
2004-11,20.894,
2004-12,27.082,
2005-01,25.616,
2005-02,24.034,
2005-03,29.022,
2005-04,24.574,
2005-05,24.042,
2005-06,21.651,
2005-07,23.669,
2005-08,26.188,
2005-09,27.971,
2005-10,25.532,
2005-11,25.028,
2005-12,26.473,
2006-01,24.597,
2006-02,26.446,
2006-03,28.286,
2006-04,27.728,
2006-05,25.194,
2006-06,26.290,
2006-07,21.611,
2006-08,23.328,
2006-09,27.944,
2006-10,26.477,
2006-11,28.941,
2006-12,27.903,
2007-01,26.406,
2007-02,22.648,
2007-03,25.233,
2007-04,23.185,
2007-05,22.576,
2007-06,21.424,
2007-07,22.762,
2007-08,22.274,
2007-09,21.330,
2007-10,21.595,
2007-11,24.457,
2007-12,20.245,
2008-01,24.171,
2008-02,22.120,
2008-03,24.865,
2008-04,23.267,
2008-05,20.004,
2008-06,20.485,
2008-07,18.766,
2008-08,18.571,
2008-09,21.385,
2008-10,19.182,
2008-11,19.330,
2008-12,17.472,
2009-01,19.264,
2009-02,21.275,
2009-03,22.915,
2009-04,23.517,
2009-05,21.510,
2009-06,21.882,
2009-07,20.035,
2009-08,19.843,
2009-09,19.065,
2009-10,18.804,
2009-11,17.254,
2009-12,24.175,
2010-01,21.876,
2010-02,20.716,
2010-03,22.229,
2010-04,22.878,
2010-05,19.326,
2010-06,19.383,
2010-07,19.431,
2010-08,19.956,
2010-09,19.979,
2010-10,20.814,
2010-11,20.363,
2010-12,19.048,
2011-01,22.965,
2011-02,21.635,
2011-03,21.182,
2011-04,20.432,
2011-05,20.171,
2011-06,19.881,
2011-07,19.499,
2011-08,19.912,
2011-09,20.586,
2011-10,21.884,
2011-11,19.691,
2011-12,16.084,
2012-01,19.190,
2012-02,18.736,
2012-03,17.780,
2012-04,16.372,
2012-05,15.553,
2012-06,17.674,
2012-07,15.924,
2012-08,16.318,
2012-09,17.366,
2012-10,16.858,
2012-11,17.295,
2012-12,17.375,
2013-01,18.819,
2013-02,18.380,
2013-03,19.512,
2013-04,19.461,
2013-05,18.119,
2013-06,19.414,
2013-07,21.821,
2013-08,20.073,
2013-09,22.633,
2013-10,22.166,
2013-11,19.638,
2013-12,14.141,
2014-01,20.750,
2014-02,19.586,
2014-03,18.178,
2014-04,17.396,
2014-05,16.819,
2014-06,18.162,
2014-07,16.408,
2014-08,17.164,
2014-09,17.973,
2014-10,15.769,
2014-11,17.292,
2014-12,14.093,
