"",BBK01.SUD129S,BBK01.SUD129S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Loans to non-financial corporations over EUR 1 million with an initial rate fixation of over 5 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:40:03,
2000-01,6.0580,Estimated value
2000-02,6.0952,Estimated value
2000-03,5.9812,Estimated value
2000-04,5.9252,Estimated value
2000-05,6.0729,Estimated value
2000-06,5.9922,Estimated value
2000-07,6.0708,Estimated value
2000-08,6.0550,Estimated value
2000-09,6.0981,Estimated value
2000-10,6.0808,Estimated value
2000-11,6.0568,Estimated value
2000-12,5.8203,Estimated value
2001-01,5.6811,Estimated value
2001-02,5.6715,Estimated value
2001-03,5.5787,Estimated value
2001-04,5.6442,Estimated value
2001-05,5.7811,Estimated value
2001-06,5.7700,Estimated value
2001-07,5.7593,Estimated value
2001-08,5.6276,Estimated value
2001-09,5.5801,Estimated value
2001-10,5.3648,Estimated value
2001-11,5.2149,Estimated value
2001-12,5.4354,Estimated value
2002-01,5.5007,Estimated value
2002-02,5.5924,Estimated value
2002-03,5.8167,Estimated value
2002-04,5.8445,Estimated value
2002-05,5.8500,Estimated value
2002-06,5.7272,Estimated value
2002-07,5.6095,Estimated value
2002-08,5.3770,Estimated value
2002-09,5.2090,Estimated value
2002-10,5.2597,Estimated value
2002-11,5.2251,Estimated value
2002-12,5.0864,Estimated value
