"",BBK01.CEL00M,BBK01.CEL00M_FLAGS
"",Acquisition of financial assets total debtor: Total            creditor: Non-Profit Institutions Serving Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:12,
1999-01,2.7,
1999-04,1.8,
1999-07,-0.5,
1999-10,0.1,
2000-01,3.1,
2000-04,3.8,
2000-07,1.6,
2000-10,-0.2,
2001-01,2.2,
2001-04,0.4,
2001-07,0.7,
2001-10,3.3,
2002-01,-1.2,
2002-04,1.2,
2002-07,-0.6,
2002-10,2.6,
2003-01,2.3,
2003-04,1.4,
2003-07,-0.8,
2003-10,-0.2,
2004-01,1.9,
2004-04,1.0,
2004-07,0.5,
2004-10,-0.1,
2005-01,2.1,
2005-04,1.0,
2005-07,1.7,
2005-10,-1.2,
2006-01,6.0,
2006-04,0.9,
2006-07,1.1,
2006-10,0.9,
2007-01,1.7,
2007-04,4.2,
2007-07,-2.6,
2007-10,-1.0,
2008-01,2.3,
2008-04,0.8,
2008-07,0.8,
2008-10,-0.4,
2009-01,1.5,
2009-04,-1.9,
2009-07,-1.5,
2009-10,-0.8,
2010-01,1.8,
2010-04,5.3,
2010-07,0.4,
2010-10,-0.7,
2011-01,1.6,
2011-04,1.1,
2011-07,-0.6,
2011-10,-1.9,
2012-01,5.3,
2012-04,1.1,
2012-07,0.4,
2012-10,-0.9,
2013-01,1.1,
2013-04,0.7,
2013-07,0.5,
2013-10,-1.7,
2014-01,2.6,
2014-04,1.5,
2014-07,0.3,
