"",BBK01.OEBK01T,BBK01.OEBK01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:54,
2002-01,0.344,
2002-04,0.350,
2002-07,0.346,
2002-10,0.357,
2003-01,0.342,
2003-04,0.341,
2003-07,0.348,
2003-10,0.337,
2004-01,0.350,
2004-04,0.358,
2004-07,0.353,
2004-10,0.369,
2005-01,0.370,
2005-04,0.372,
2005-07,0.344,
2005-10,0.368,
2006-01,0.357,
2006-04,0.357,
2006-07,0.373,
2006-10,0.385,
2007-01,0.389,
2007-04,0.399,
2007-07,0.419,
2007-10,0.456,
2008-01,0.445,
2008-04,0.454,
2008-07,0.493,
2008-10,0.545,
2009-01,0.518,
2009-04,0.517,
2009-07,0.483,
2009-10,0.499,
2010-01,0.476,
2010-04,0.542,
2010-07,0.574,
2010-10,0.605,
2011-01,0.575,
2011-04,0.576,
2011-07,0.597,
2011-10,0.650,
2012-01,0.632,
2012-04,0.693,
2012-07,0.765,
2012-10,0.797,
2013-01,0.797,
2013-04,0.801,
2013-07,0.820,
2013-10,0.871,
2014-01,0.818,
2014-04,0.806,
2014-07,0.840,
