"",BBK01.WU018A,BBK01.WU018A_FLAGS
"",CDAX performance index / End 1987 = 100 / End of month,
unit,,
unit multiplier,one,
last update,2015-02-02 10:11:15,
1994-06,201.87,
1994-07,210.51,
1994-08,215.99,
1994-09,200.00,
1994-10,203.57,
1994-11,201.10,
1994-12,205.92,
1995-01,197.38,
1995-02,204.09,
1995-03,188.50,
1995-04,197.01,
1995-05,204.66,
1995-06,205.90,
1995-07,216.92,
1995-08,217.38,
1995-09,212.88,
1995-10,208.71,
1995-11,212.72,
1995-12,215.70,
1996-01,231.65,
1996-02,230.67,
1996-03,230.60,
1996-04,230.65,
1996-05,235.52,
1996-06,241.12,
1996-07,233.20,
1996-08,239.02,
1996-09,247.11,
1996-10,247.19,
1996-11,259.30,
1996-12,263.46,
1997-01,277.59,
1997-02,295.55,
1997-03,310.29,
1997-04,311.46,
1997-05,323.38,
1997-06,342.39,
1997-07,390.13,
1997-08,350.31,
1997-09,369.15,
1997-10,335.60,
1997-11,350.22,
1997-12,371.02,
1998-01,387.12,
1998-02,410.88,
1998-03,442.15,
1998-04,444.55,
1998-05,477.84,
1998-06,497.50,
1998-07,497.86,
1998-08,416.74,
1998-09,387.60,
1998-10,402.20,
1998-11,428.87,
1998-12,428.66,
1999-01,442.21,
1999-02,426.38,
1999-03,421.39,
1999-04,455.50,
1999-05,434.94,
1999-06,457.72,
1999-07,441.12,
1999-08,451.08,
1999-09,439.07,
1999-10,464.84,
1999-11,494.70,
1999-12,564.44,
2000-01,563.51,
2000-02,640.82,
2000-03,633.16,
2000-04,617.99,
2000-05,588.83,
2000-06,574.76,
2000-07,590.13,
2000-08,593.24,
2000-09,560.39,
2000-10,568.80,
2000-11,508.00,
2000-12,508.49,
2001-01,531.61,
2001-02,493.02,
2001-03,462.78,
2001-04,492.45,
2001-05,484.95,
2001-06,480.19,
2001-07,464.50,
2001-08,419.73,
2001-09,356.25,
2001-10,377.64,
2001-11,407.37,
2001-12,417.40,
2002-01,419.94,
2002-02,415.43,
2002-03,437.57,
2002-04,415.32,
2002-05,400.53,
2002-06,371.20,
2002-07,316.24,
2002-08,316.74,
2002-09,241.21,
2002-10,272.44,
2002-11,284.90,
2002-12,250.69,
2003-01,239.90,
2003-02,223.36,
2003-03,213.85,
2003-04,256.65,
2003-05,261.03,
2003-06,280.90,
2003-07,302.90,
2003-08,305.32,
2003-09,287.32,
2003-10,320.93,
2003-11,327.90,
2003-12,344.89,
2004-01,354.98,
2004-02,353.41,
2004-03,340.35,
2004-04,351.43,
2004-05,346.25,
2004-06,357.49,
2004-07,344.07,
2004-08,334.07,
2004-09,343.65,
2004-10,348.94,
2004-11,363.22,
2004-12,374.09,
2005-01,376.07,
2005-02,385.75,
2005-03,385.30,
2005-04,370.89,
2005-05,395.50,
2005-06,408.76,
2005-07,435.39,
2005-08,431.78,
2005-09,451.42,
2005-10,438.99,
2005-11,461.35,
2005-12,479.59,
2006-01,507.28,
2006-02,522.20,
2006-03,538.49,
2006-04,543.12,
2006-05,512.65,
2006-06,510.40,
2006-07,509.95,
2006-08,526.07,
2006-09,540.58,
2006-10,562.87,
2006-11,567.14,
2006-12,595.11,
2007-01,614.90,
2007-02,609.66,
2007-03,632.05,
2007-04,674.14,
2007-05,713.41,
2007-06,722.14,
2007-07,688.30,
2007-08,687.80,
2007-09,706.08,
2007-10,725.43,
2007-11,703.13,
2007-12,716.65,
2008-01,610.83,
2008-02,605.77,
2008-03,587.24,
2008-04,624.02,
2008-05,639.10,
2008-06,580.40,
2008-07,578.57,
2008-08,577.15,
2008-09,513.10,
2008-10,431.88,
2008-11,397.61,
2008-12,411.51,
2009-01,371.65,
2009-02,330.22,
2009-03,348.98,
2009-04,409.86,
2009-05,424.44,
2009-06,415.07,
2009-07,457.15,
2009-08,473.16,
2009-09,494.35,
2009-10,470.69,
2009-11,488.51,
2009-12,516.05,
2010-01,489.82,
2010-02,487.81,
2010-03,535.64,
2010-04,536.20,
2010-05,519.01,
2010-06,518.87,
2010-07,535.45,
2010-08,517.45,
2010-09,545.46,
2010-10,578.36,
2010-11,586.34,
2010-12,611.30,
2011-01,623.85,
2011-02,639.16,
2011-03,622.97,
2011-04,660.86,
2011-05,644.78,
2011-06,651.43,
2011-07,630.15,
2011-08,517.06,
2011-09,487.21,
2011-10,541.57,
2011-11,536.67,
2011-12,520.73,
2012-01,570.03,
2012-02,604.24,
2012-03,612.14,
2012-04,600.43,
2012-05,557.68,
2012-06,568.84,
2012-07,599.13,
2012-08,614.82,
2012-09,635.30,
2012-10,642.25,
2012-11,655.92,
2012-12,673.11,
2013-01,690.49,
2013-02,692.13,
2013-03,695.76,
2013-04,705.55,
2013-05,743.16,
2013-06,710.59,
2013-07,740.14,
2013-08,728.73,
2013-09,770.59,
2013-10,810.48,
2013-11,841.59,
2013-12,853.14,
2014-01,834.36,
2014-02,869.31,
2014-03,856.42,
2014-04,858.51,
2014-05,889.90,
2014-06,881.17,
2014-07,840.72,
2014-08,846.53,
2014-09,844.57,
2014-10,833.99,
2014-11,891.60,
2014-12,879.54,
2015-01,959.20,
