"",BBEX3.M.TWD.USD.CA.AC.A01,BBEX3.M.TWD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in China (Taiwan) / USD 1 = TWD... (middle),
unit,TWD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:41,
1984-01,40.1800,
1984-02,40.1700,
1984-03,39.9200,
1984-04,39.6400,
1984-05,39.8900,
1984-06,39.6300,
1984-07,39.1800,
1984-08,39.0300,
1984-09,39.1800,
1984-10,39.2800,
1984-11,39.4800,
1984-12,39.4700,
1985-01,39.0800,
1985-02,39.3200,
1985-03,39.5400,
1985-04,39.9200,
1985-05,39.7800,
1985-06,40.0000,
1985-07,40.3100,
1985-08,40.4200,
1985-09,40.4000,
1985-10,40.0900,
1985-11,39.7800,
1985-12,39.8500,
1986-01,39.3100,
1986-02,39.0900,
1986-03,38.7700,
1986-04,38.5400,
1986-05,38.1700,
1986-06,38.0900,
1986-07,38.0500,
1986-08,36.9600,
1986-09,36.7200,
1986-10,36.4900,
1986-11,36.2600,
1986-12,35.5000,
1987-01,35.0600,
1987-02,34.9900,
1987-03,34.2600,
1987-04,33.0200,
1987-05,31.4900,
1987-06,31.0800,
1987-07,30.8800,
1987-08,30.1100,
1987-09,30.0900,
1987-10,29.9600,
1987-11,29.4600,
1987-12,28.5500,
1988-01,28.6100,
1988-02,28.6200,
1988-03,28.6400,
1988-04,28.6400,
1988-05,28.6200,
1988-06,28.8900,
1988-07,28.6300,
1988-08,28.7800,
1988-09,28.9300,
1988-10,28.4900,
1988-11,28.1300,
1988-12,28.1700,
1989-01,27.6500,
1989-02,27.7600,
1989-03,27.4100,
1989-04,25.5500,
1989-05,26.0600,
1989-06,25.9100,
1989-07,25.7300,
1989-08,25.6600,
1989-09,25.6000,
1989-10,25.9000,
1989-11,26.1400,
1989-12,26.1700,
1990-01,26.1500,
1990-02,26.1500,
1990-03,26.4100,
1990-04,26.3900,
1990-05,27.4600,
1990-06,27.2000,
1990-07,27.1800,
1990-08,27.2900,
1990-09,27.3000,
1990-10,27.2800,
1990-11,27.2400,
1990-12,27.1200,
1991-01,27.1000,
1991-02,27.1600,
1991-03,27.4500,
1991-04,27.3800,
1991-05,27.2000,
1991-06,27.1100,
1991-07,26.8900,
1991-08,26.7000,
1991-09,26.4900,
1991-10,26.3500,
1991-11,25.7600,
1991-12,25.7500,
1992-01,25.0000,
1992-02,25.1500,
1992-03,25.5300,
1992-04,25.2400,
1992-05,24.8900,
1992-06,24.6500,
1992-07,24.9600,
1992-08,25.0900,
1992-09,25.1900,
1992-10,25.3700,
1992-11,25.4500,
1992-12,25.4200,
1993-01,25.4900,
1993-02,25.7400,
1993-03,26.1500,
1993-04,25.8500,
1993-05,26.0500,
1993-06,26.4000,
1993-07,26.9400,
1993-08,26.9400,
1993-09,26.9400,
1993-10,26.8600,
1993-11,26.9300,
1993-12,26.6800,
1994-01,26.4400,
1994-02,26.4600,
1994-03,26.3600,
1994-04,26.4000,
1994-05,27.0800,
1994-06,26.8300,
1994-07,26.5700,
1994-08,26.1500,
1994-09,26.1600,
1994-10,26.0400,
1994-11,26.2500,
1994-12,26.2600,
1995-01,26.3000,
1995-02,26.3200,
1995-03,25.9900,
1995-04,25.4100,
1995-05,25.5900,
1995-06,25.8300,
1995-07,26.4700,
1995-08,27.5000,
1995-09,27.0600,
1995-10,26.9600,
1995-11,27.3100,
1995-12,27.2900,
1996-01,27.4700,
1996-02,27.5000,
1996-03,27.2400,
1996-04,27.1600,
1996-05,27.7300,
1996-06,27.4900,
1996-07,27.5400,
1996-08,27.4700,
1996-09,27.4900,
1996-10,27.5400,
1996-11,27.4900,
1996-12,27.4950,
1997-01,27.4450,
1997-02,27.5050,
1997-03,27.5550,
1997-04,27.6600,
1997-05,27.8500,
1997-06,27.8100,
1997-07,28.5600,
1997-08,28.6500,
1997-09,28.6000,
1997-10,30.9900,
1997-11,32.1300,
1997-12,32.5900,
1998-01,33.8400,
1998-02,32.0400,
1998-03,32.9600,
1998-04,32.9800,
1998-05,34.0000,
1998-06,34.4900,
1998-07,34.3600,
1998-08,34.8200,
1998-09,34.4500,
1998-10,32.3800,
1998-11,32.4400,
1998-12,32.2150,
1999-01,32.2900,
1999-02,32.9700,
1999-03,33.1600,
1999-04,32.6900,
1999-05,32.7200,
1999-06,32.2700,
1999-07,32.1700,
1999-08,31.8400,
1999-09,31.7900,
1999-10,31.7300,
1999-11,31.6700,
1999-12,31.4300,
2000-01,30.7100,
2000-02,30.7300,
2000-03,30.4600,
2000-04,30.6400,
2000-05,30.8400,
2000-06,30.8000,
2000-07,31.0500,
2000-08,31.0700,
2000-09,31.3200,
2000-10,32.4000,
2000-11,33.0500,
2000-12,33.0600,
2001-01,32.3700,
2001-02,32.3200,
2001-03,32.8200,
2001-04,32.9200,
2001-05,33.9700,
2001-06,34.4700,
2001-07,34.7700,
2001-08,34.5600,
2001-09,34.5300,
2001-10,34.5100,
2001-11,34.4500,
2001-12,35.0200,
2002-01,34.9500,
2002-02,35.1100,
2002-03,35.0000,
2002-04,34.7200,
2002-05,34.0700,
2002-06,33.5600,
2002-07,33.8100,
2002-08,34.1900,
2002-09,34.9100,
2002-10,34.8000,
2002-11,34.8000,
2002-12,34.7500,
2003-01,34.6900,
2003-02,34.7500,
2003-03,34.7900,
2003-04,34.8500,
2003-05,34.7200,
2003-06,34.6000,
2003-07,34.3900,
2003-08,34.1800,
2003-09,33.7500,
2003-10,33.9500,
2003-11,34.2200,
2003-12,34.0000,
2004-01,33.3800,
2004-02,33.3300,
2004-03,33.1300,
2004-04,33.3000,
2004-05,33.3900,
2004-06,33.7300,
2004-07,34.1800,
2004-08,34.0600,
2004-09,33.9800,
2004-10,33.5300,
2004-11,32.2000,
2004-12,31.7600,
2005-01,31.8100,
2005-02,31.1700,
2005-03,31.7100,
2005-04,31.3900,
2005-05,31.3300,
2005-06,31.6500,
2005-07,31.9000,
2005-08,32.7500,
2005-09,33.2000,
2005-10,33.6400,
2005-11,33.5400,
2005-12,32.8300,
2006-01,32.0300,
2006-02,32.4800,
2006-03,32.4700,
2006-04,31.8700,
2006-05,32.0400,
2006-06,32.4500,
2006-07,32.7400,
2006-08,32.8900,
2006-09,33.0100,
2006-10,33.2400,
2006-11,32.5200,
2006-12,32.6400,
2007-01,32.9300,
2007-02,32.9300,
2007-03,33.0600,
2007-04,33.2800,
2007-05,32.9600,
2007-06,32.8500,
2007-07,32.8200,
2007-08,33.0600,
2007-09,32.5700,
2007-10,32.4300,
2007-11,32.2700,
2007-12,32.4800,
2008-01,32.1700,
2008-02,30.7600,
2008-03,30.4700,
2008-04,30.4200,
2008-05,30.4300,
2008-06,30.3600,
2008-07,30.5800,
2008-08,31.5100,
2008-09,32.2700,
2008-10,32.7300,
2008-11,33.2900,
2008-12,32.7500,
2009-01,33.5800,
2009-02,34.9000,
2009-03,34.0000,
2009-04,33.3000,
2009-05,32.5700,
2009-06,32.8600,
2009-07,32.7800,
2009-08,32.8900,
2009-09,32.2500,
2009-10,32.4900,
2009-11,32.2000,
2009-12,32.1700,
2010-01,32.0200,
2010-02,32.0800,
2010-03,31.7600,
2010-04,31.3600,
2010-05,31.9900,
2010-06,32.2000,
2010-07,31.9700,
2010-08,32.0300,
2010-09,31.2300,
2010-10,30.6600,
2010-11,30.4300,
2010-12,29.1600,
2011-01,29.0300,
2011-02,29.8700,
2011-03,29.4500,
2011-04,28.6800,
2011-05,28.6500,
2011-06,28.7800,
2011-07,28.8200,
2011-08,29.0300,
2011-09,30.4900,
2011-10,29.7500,
2011-11,30.3000,
2011-12,30.2700,
2012-01,29.6400,
2012-02,29.4400,
2012-03,29.5200,
2012-04,29.1000,
2012-05,29.8200,
2012-06,29.9100,
2012-07,30.0300,
2012-08,29.9300,
2012-09,29.3200,
2012-10,29.2300,
2012-11,29.0700,
2012-12,29.0300,
2013-01,29.5400,
2013-02,29.6500,
2013-03,29.8600,
2013-04,29.4500,
2013-05,29.9300,
2013-06,29.9700,
2013-07,29.9500,
2013-08,29.9000,
2013-09,29.5600,
2013-10,29.4000,
2013-11,29.6000,
2013-12,29.7900,
2014-01,30.2800,
2014-02,30.3000,
2014-03,30.4700,
2014-04,30.1900,
2014-05,29.9700,
2014-06,29.8500,
2014-07,29.9700,
2014-08,29.8900,
2014-09,30.4400,
2014-10,30.3800,
2014-11,30.9100,
2014-12,31.6500,
2015-01,31.4800,
"","Source: Calculated on the basis of the buying and selling rates of the Central Bank of China, Taipeh, Taiwan.",
