"",BBFB1.Q.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Services / Balance (Credits minus Debits) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:16,
1991-01,-6.57,
1991-04,-5.95,
1991-07,-5.86,
1991-10,-6.65,
1992-01,-7.96,
1992-04,-7.79,
1992-07,-8.11,
1992-10,-8.19,
1993-01,-8.25,
1993-04,-8.77,
1993-07,-8.44,
1993-10,-8.72,
1994-01,-9.12,
1994-04,-9.98,
1994-07,-10.03,
1994-10,-10.14,
1995-01,-10.39,
1995-04,-10.26,
1995-07,-10.08,
1995-10,-9.75,
1996-01,-10.59,
1996-04,-10.73,
1996-07,-10.87,
1996-10,-10.89,
1997-01,-11.23,
1997-04,-11.38,
1997-07,-10.62,
1997-10,-10.73,
1998-01,-10.18,
1998-04,-11.49,
1998-07,-11.38,
1998-10,-11.86,
1999-01,-12.44,
1999-04,-13.29,
1999-07,-12.89,
1999-10,-14.61,
2000-01,-13.56,
2000-04,-14.38,
2000-07,-14.60,
2000-10,-15.64,
2001-01,-16.80,
2001-04,-16.27,
2001-07,-16.16,
2001-10,-13.13,
2002-01,-12.99,
2002-04,-12.17,
2002-07,-11.01,
2002-10,-9.51,
2003-01,-13.74,
2003-04,-11.78,
2003-07,-12.34,
2003-10,-11.61,
2004-01,-11.14,
2004-04,-10.33,
2004-07,-8.53,
2004-10,-9.29,
2005-01,-9.71,
2005-04,-10.55,
2005-07,-9.85,
2005-10,-10.79,
2006-01,-10.46,
2006-04,-7.45,
2006-07,-8.30,
2006-10,-9.06,
2007-01,-9.66,
2007-04,-8.38,
2007-07,-9.13,
2007-10,-10.13,
2008-01,-7.96,
2008-04,-9.12,
2008-07,-8.06,
2008-10,-6.50,
2009-01,-4.93,
2009-04,-5.38,
2009-07,-5.33,
2009-10,-5.30,
2010-01,-5.93,
2010-04,-8.06,
2010-07,-6.96,
2010-10,-8.25,
2011-01,-7.45,
2011-04,-9.03,
2011-07,-8.76,
2011-10,-8.06,
2012-01,-8.82,
2012-04,-8.75,
2012-07,-9.22,
2012-10,-9.48,
2013-01,-12.82,
2013-04,-12.16,
2013-07,-11.00,
2013-10,-12.04,
2014-01,-8.42,
2014-04,-9.34,Provisional value
2014-07,-10.97,Provisional value
2014-10,-12.53,Provisional value
