"",BBK01.OEAH17J,BBK01.OEAH17J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:01,
2002-01,8.864,
2002-04,8.850,
2002-07,8.644,
2002-10,8.777,
2003-01,8.524,
2003-04,8.665,
2003-07,8.602,
2003-10,8.779,
2004-01,9.251,
2004-04,9.491,
2004-07,10.028,
2004-10,10.094,
2005-01,11.117,
2005-04,11.285,
2005-07,11.480,
2005-10,12.690,
2006-01,12.476,
2006-04,12.974,
2006-07,13.396,
2006-10,13.306,
2007-01,13.702,
2007-04,13.950,
2007-07,14.888,
2007-10,15.299,
2008-01,15.436,
2008-04,16.421,
2008-07,16.664,
2008-10,16.775,
2009-01,16.356,
2009-04,16.088,
2009-07,15.695,
2009-10,15.607,
2010-01,15.766,
2010-04,15.575,
2010-07,15.219,
2010-10,15.172,
2011-01,15.098,
2011-04,15.203,
2011-07,15.136,
2011-10,15.088,
2012-01,15.392,
2012-04,14.749,
2012-07,14.037,
2012-10,13.716,
2013-01,13.586,
2013-04,11.943,
2013-07,10.718,
2013-10,10.349,
2014-01,9.275,
2014-04,8.968,
2014-07,8.400,
