"",BBK01.CEFO0J,BBK01.CEFO0J_FLAGS
"",Other deposits  debtor: Total           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:03,
1999-01,914.7,
1999-04,902.9,
1999-07,894.6,
1999-10,895.1,
2000-01,878.3,
2000-04,864.3,
2000-07,861.3,
2000-10,860.2,
2001-01,866.6,
2001-04,868.1,
2001-07,872.2,
2001-10,877.5,
2002-01,874.2,
2002-04,863.2,
2002-07,865.6,
2002-10,874.0,
2003-01,875.1,
2003-04,868.5,
2003-07,867.8,
2003-10,867.9,
2004-01,869.0,
2004-04,864.7,
2004-07,866.1,
2004-10,872.5,
2005-01,872.9,
2005-04,869.5,
2005-07,865.4,
2005-10,868.6,
2006-01,875.6,
2006-04,877.4,
2006-07,885.0,
2006-10,890.9,
2007-01,898.9,
2007-04,901.9,
2007-07,914.6,
2007-10,934.2,
2008-01,944.3,
2008-04,955.2,
2008-07,967.5,
2008-10,1004.9,
2009-01,967.3,
2009-04,947.4,
2009-07,925.9,
2009-10,910.3,
2010-01,906.9,
2010-04,902.6,
2010-07,900.6,
2010-10,913.3,
2011-01,921.9,
2011-04,928.0,
2011-07,932.2,
2011-10,940.5,
2012-01,948.2,
2012-04,945.1,
2012-07,936.9,
2012-10,924.9,
2013-01,912.4,
2013-04,900.9,
2013-07,890.9,
2013-10,891.0,
2014-01,890.3,
2014-04,886.0,
2014-07,887.2,
