"",BBK01.OUL320,BBK01.OUL320_FLAGS
"",Time deposits of foreign non-banks / for up and including 1 year / Credit cooperatives,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:27:28,
1999-01,0.835,
1999-02,0.840,
1999-03,0.852,
1999-04,0.844,
1999-05,0.838,
1999-06,0.836,
1999-07,0.829,
1999-08,0.821,
1999-09,0.826,
1999-10,0.829,
1999-11,0.826,
1999-12,0.837,
2000-01,0.833,
2000-02,0.836,
2000-03,0.849,
2000-04,0.855,
2000-05,0.858,
2000-06,0.825,
2000-07,0.851,
2000-08,0.858,
2000-09,0.858,
2000-10,0.866,
2000-11,0.872,
2000-12,0.892,
2001-01,0.905,
2001-02,0.921,
2001-03,0.927,
2001-04,0.933,
2001-05,0.944,
2001-06,0.958,
2001-07,0.984,
2001-08,0.980,
2001-09,0.985,
2001-10,0.995,
2001-11,1.004,
2001-12,1.024,
2002-01,1.029,
2002-02,1.020,
2002-03,1.018,
2002-04,1.006,
2002-05,0.993,
2002-06,0.979,
2002-07,0.969,
2002-08,0.959,
2002-09,0.949,
2002-10,0.941,
2002-11,0.936,
2002-12,0.990,
2003-01,0.964,
2003-02,0.960,
2003-03,0.918,
2003-04,0.916,
2003-05,0.910,
2003-06,0.885,
2003-07,0.865,
2003-08,0.856,
2003-09,0.850,
2003-10,0.841,
2003-11,0.826,
2003-12,0.842,
2004-01,0.794,
2004-02,0.789,
2004-03,0.784,
2004-04,0.794,
2004-05,0.781,
2004-06,0.767,
2004-07,0.754,
2004-08,0.747,
2004-09,0.732,
2004-10,0.711,
2004-11,0.697,
2004-12,0.689,
2005-01,0.703,
2005-02,0.691,
2005-03,0.702,
2005-04,0.682,
2005-05,0.660,
2005-06,0.602,
2005-07,0.591,
2005-08,0.591,
2005-09,0.591,
2005-10,0.584,
2005-11,0.583,
2005-12,0.591,
2006-01,0.597,
2006-02,0.590,
2006-03,0.627,
2006-04,0.645,
2006-05,0.648,
2006-06,0.646,
2006-07,0.623,
2006-08,0.621,
2006-09,0.617,
2006-10,0.622,
2006-11,0.623,
2006-12,0.661,
2007-01,0.680,
2007-02,0.706,
2007-03,0.722,
2007-04,0.751,
2007-05,0.761,
2007-06,0.792,
2007-07,0.795,
2007-08,0.828,
2007-09,0.839,
2007-10,0.855,
2007-11,0.874,
2007-12,0.904,
2008-01,0.937,
2008-02,0.948,
2008-03,0.977,
2008-04,1.162,
2008-05,1.174,
2008-06,1.201,
2008-07,1.245,
2008-08,1.274,
2008-09,1.319,
2008-10,1.446,
2008-11,1.484,
2008-12,1.476,
2009-01,1.419,
2009-02,1.341,
2009-03,1.275,
2009-04,1.440,
2009-05,1.390,
2009-06,1.348,
2009-07,1.279,
2009-08,1.241,
2009-09,1.205,
2009-10,1.174,
2009-11,1.004,
2009-12,0.983,
2010-01,0.965,
2010-02,0.944,
2010-03,0.909,
2010-04,0.898,
2010-05,0.881,
2010-06,0.865,
2010-07,0.861,
2010-08,0.876,
2010-09,0.858,
2010-10,0.888,
2010-11,0.911,
2010-12,0.913,
2011-01,0.897,
2011-02,0.865,
2011-03,0.870,
2011-04,0.855,
2011-05,0.611,
2011-06,0.649,
2011-07,0.690,
2011-08,0.692,
2011-09,0.684,
2011-10,0.692,
2011-11,0.704,
2011-12,0.700,
2012-01,0.660,
2012-02,0.674,
2012-03,0.649,
2012-04,0.640,
2012-05,0.643,
2012-06,0.636,
2012-07,0.586,
2012-08,0.571,
2012-09,0.555,
2012-10,0.536,
2012-11,0.535,
2012-12,0.521,
2013-01,0.506,
2013-02,0.515,
2013-03,0.500,
2013-04,0.546,
2013-05,0.534,
2013-06,0.442,
2013-07,0.432,
2013-08,0.460,
2013-09,0.441,
2013-10,0.431,
2013-11,0.401,
2013-12,0.401,
2014-01,0.404,
2014-02,0.400,
2014-03,0.395,
2014-04,0.387,
2014-05,0.388,
2014-06,0.379,
2014-07,0.372,
2014-08,0.382,
2014-09,0.383,
2014-10,0.373,
2014-11,0.368,
2014-12,0.344,Provisional value
